feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Glycochenodeoxycholate_448.3	Fasting	Y	-1.84274961087966	0.206171749043267	202	158	2.97527751032799e-16	1.38301214335784e-13
Linoleic.acid_279.2	Fasting	Y	0.930609375913582	0.104367742198878	202	202	3.30337295388019e-16	1.38301214335784e-13
Proline_116.1	Fasting	Y	-0.324534450391603	0.0361142907083839	202	202	2.39346349391158e-16	1.38301214335784e-13
Fructose_179.1	Fasting	Y	-1.25244229225421	0.142005778037408	202	202	6.20708798947544e-16	1.94902562869529e-13
Oleic.acid_281.2	Fasting	Y	0.9595765652504	0.111185504742552	202	202	2.14056070635257e-15	5.37708849435765e-13
Palmitic.acid_255.2	Fasting	Y	0.687562343226664	0.0815848748305755	202	202	8.07785139811349e-15	1.69096355933842e-12
Palmitoleic.acid_253.2	Fasting	Y	0.851354091278341	0.103271978591224	202	202	2.35841514728006e-14	4.23167060711964e-12
X3.hydroxybutyric.acid_103	Fasting	Y	1.11888949741491	0.137770707860057	202	202	1.02071541566368e-13	1.60252320259197e-11
Hexanoyl.carnitine_260.2	Fasting	Y	0.60921247580926	0.0794654526471237	202	202	9.57886135024873e-13	1.3367833173236e-10
Arachidonic.acid_303.2	Fasting	Y	0.541018266315862	0.0736172443120244	202	202	5.21123230821317e-12	6.54530777911574e-10
cis.11.Eicosenoic.acid_309.3	Fasting	Y	0.812044969327909	0.111579995556254	202	202	8.02399927525738e-12	9.1619482633848e-10
Glycerol.Myristate_301.2	Fasting	Y	0.935793523205922	0.129617061792695	202	127	1.13290459006766e-11	1.18577347093748e-09
Ximeninic.Acid_277.2	Fasting	Y	0.795990582286178	0.111162542003249	202	202	1.55998318251996e-11	1.50718375172698e-09
Linolenic.acid_277.2	Fasting	Y	0.822304036656654	0.116226880381487	202	202	2.55491783484409e-11	2.29212628611727e-09
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Fasting	Y	0.921367282224102	0.130475510295415	202	195	2.78376318623294e-11	2.33093770793905e-09
acetyl.carnitine_204.1	Fasting	Y	0.474237194945239	0.0674774851088219	202	202	3.41528767208477e-11	2.68100082258655e-09
Trigonelline_138.1	Fasting	Y	-1.28191483097448	0.180851422834752	202	202	5.34318873697694e-11	3.94767356096649e-09
Octanoyl.carnitine_288.2	Fasting	Y	0.78932556958491	0.115896497843688	202	202	1.34030842053143e-10	9.35237431215265e-09
N.Acetylglycine_116	Fasting	Y	0.506063754237764	0.0744330168140724	202	202	1.62222515419539e-10	1.07237620719443e-08
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid_305.2	Fasting	Y	0.732380664028407	0.11024241288911	202	201	2.94598012253162e-10	1.85007551694985e-08
cis.10.Nonadecenoic.acid_295.3	Fasting	Y	0.910218938629589	0.137677134999035	202	140	3.592603364702e-10	2.1487189647932e-08
X14.Methylhexadecanoic.acid_269.2	Fasting	Y	0.438697749586697	0.0683535795780298	202	202	1.05471794604626e-09	5.95199693670454e-08
Docosahexaenoic.acid_327.2	Fasting	Y	0.58102839744916	0.0903146696413603	202	202	1.0899357447787e-09	5.95199693670454e-08
Myristoleic.acid_225.2	Fasting	Y	0.557748801921725	0.0885943160358813	202	202	2.00819693108412e-09	1.05095639393402e-07
Caffeine_195.1	Fasting	Y	-0.904615943895386	0.146178105353809	202	202	4.60557796229488e-09	2.31384236825695e-07
Propionyl.carnitine_218.1	Fasting	Y	-0.377921129768153	0.0615966180903503	202	202	6.14089483462264e-09	2.96652458164847e-07
cis.5.Dodecenoic.acid_197.2	Fasting	Y	0.892329707563058	0.147421423886883	202	196	7.07669454717319e-09	3.29197346342575e-07
Xylose_149	Fasting	Y	-0.392453951380309	0.0660481027257236	202	202	1.30632321221297e-08	5.85979269478391e-07
Hippurate_178.1	Fasting	Y	-2.07882652692296	0.349346893030487	202	181	1.42670648282867e-08	6.17911497390625e-07
X3..4.Hydroxyphenyl.Pyruvate_179	Fasting	Y	-0.561478772378706	0.0994672570135024	202	201	5.7576890740844e-08	2.41055249235e-06
Mannitol_181.1	Fasting	Y	-0.974445094826254	0.174094790076649	202	202	7.28947949019478e-08	2.95341491602731e-06
X4.Guanidinobutanoate_146.1	Fasting	Y	-0.660009357932602	0.120648543681649	202	199	1.35648884598062e-07	5.32421872047394e-06
X4.Imidazoleacetate_127.1	Age	Age	0.264306444860826	0.0451516524392425	202	199	1.5633705262972e-07	5.77527465008613e-06
Myristic.acid_227.2	Fasting	Y	0.467830920841254	0.0857845527830882	202	202	1.53568869659301e-07	5.77527465008613e-06
Sucrose_341.1	Fasting	Y	-0.859447891530063	0.159579039833038	202	148	2.05732603154327e-07	7.17778193227319e-06
Uridine_243.1	Fasting	Y	0.274398122699563	0.0509576255477932	202	202	2.05365802534135e-07	7.17778193227319e-06
X9.Decenoic.acid_169.1	Fasting	Y	0.411508197144799	0.0769276291708276	202	202	2.48534582124219e-07	8.43674149048699e-06
Paraxanthine_181.1	Fasting	Y	-1.21756279294674	0.230301623967413	202	182	3.7529920289842e-07	1.24046262852741e-05
Deoxycholate_391.3	Fasting	Y	-0.550816752631014	0.106071656011616	202	202	5.32733817226543e-07	1.71567608829882e-05
Glycocholate_464.3	Fasting	Y	-1.07543024464833	0.210820214919215	202	100	7.96636428687178e-07	2.50143838607774e-05
Quinate_191.1	Age	Age	1.18575664399005	0.225119646575605	202	149	1.0598081055986e-06	3.24663166007767e-05
Proline_116.1	Gender	Male	0.256102175743328	0.0498240042059497	202	202	2.6164431093578e-06	7.82441082226999e-05
Acetoacetate_101	Fasting	Y	0.614298219400004	0.127826348429115	202	202	3.11065935915337e-06	9.086018965341e-05
Deoxycarnitine_146.1	Gender	Male	0.346583182205105	0.0690913091031369	202	202	3.25885235442041e-06	9.30254217534554e-05
Glycerol_91	Fasting	Y	0.321871761067014	0.0671316057911623	202	202	3.4885316825137e-06	9.73687954052713e-05
N.Acetylputrescine_131.1	Dx	Control	-0.279148927580627	0.056488751757081	202	202	3.97736197835389e-06	0.000108599274887228
Indole.3.Acetate_174.1	Fasting	Y	-0.515999104098126	0.108397153803625	202	200	4.19306133071989e-06	0.000112052873008174
Indole.3.Methyl.Acetate_190.1	Fasting	Y	-0.870658551513814	0.185681553623723	202	78	5.13827981800222e-06	0.000134451655237725
Trimethyllysine_189.2	Gender	Male	0.41722889830874	0.0861178467159736	202	202	6.19761087478312e-06	0.000158861209361788
Pentadecanoic.acid_241.2	Fasting	Y	0.254177564410062	0.0559352019156865	202	202	9.69978876223042e-06	0.000243658693707228
Bis.2.Ethylhexyl.Phthalate_391.3	Fasting	Y	-0.514265475844428	0.113194913426696	202	202	1.02434068219117e-05	0.000252268999378844
Xylitol_151.1	Age	Age	0.219903196854544	0.0468364024311436	202	202	1.05253383985779e-05	0.000254227404396421
Betaine_118.1	Gender	Male	0.405182702905364	0.0905814729617133	202	202	2.56491974748656e-05	0.000596581333859838
Histidine_156.1	Dx	Control	-2.6226359749885	0.588344940245202	202	199	2.55338314574628e-05	0.000596581333859838
Xanthine_153	Gender	Male	-0.5936114381886	0.132283522704991	202	161	2.79207553492868e-05	0.000637608522158258
Urate_167	Gender	Male	0.280561006440305	0.0631156550789538	202	202	2.85322184820274e-05	0.000639936900239758
Cis.4.Hydroxy.D.Proline_132.1	Age	Age	-0.236153323263127	0.053710912392978	202	202	2.91878663989324e-05	0.000643157196439634
Acetaminophen_152.1	Fasting	Y	-1.11865919177454	0.261319830157276	202	170	3.02202812639829e-05	0.00065442540116487
Palmitoyl.carnitine_400.3	Fasting	Y	0.322300970191564	0.0757081656076573	202	202	3.2174216759896e-05	0.000684929088990329
Galacturonate_193	Age	Age	0.22250609658556	0.0499544774708936	202	202	3.67502986003927e-05	0.000769306250701554
X2.Methylmaleate_129	Fasting	Y	-0.300168190777644	0.0710599398257204	202	202	3.83146878378989e-05	0.000776181418135501
Trigonelline_138.1	Age	Age	0.772383194864708	0.176286683179522	202	202	3.81965026615357e-05	0.000776181418135501
Hypotaurine_110	Age	Age	-0.223949262940571	0.0516018049505222	202	202	4.07448430868785e-05	0.000787315737186452
Sarcosine_90.1	Fasting	Y	-0.198041866795072	0.0470894788208459	202	202	4.074315115745e-05	0.000787315737186452
Trehalose_341.1	Fasting	Y	-0.918338917513586	0.218682683932912	202	155	4.07157967912273e-05	0.000787315737186452
Pyridoxine_170.1	Fasting	Y	-0.590093942287791	0.142216483484674	202	192	4.95903371810274e-05	0.000943719143929855
cis.7.10.13.16.Docosatetraenoic.acid_331.3	Dx	Control	-1.12930115232187	0.267312124119067	202	187	5.2487043530972e-05	0.000969466568748541
Norvaline_118.1	Gender	Male	0.220046608732506	0.0512646130028493	202	202	5.18638880610573e-05	0.000969466568748541
Dimethylarginine_203.2	Fasting	Y	0.119644503620726	0.0294764212982974	202	202	7.2842368868623e-05	0.00130700021855701
Homoserine_120.1	Age	Age	-0.125617007151763	0.0302228802250068	202	202	7.19029932439556e-05	0.00130700021855701
Phenylpyruvate_163	Fasting	Y	-0.58549059576338	0.144869023372836	202	126	7.6437087555307e-05	0.00135218284464036
Caffeine_195.1	Age	Age	0.53186838565378	0.129245929646749	202	202	8.63440328142209e-05	0.00150622368353696
X2.3.Dihydroxybenzoate_153	Fasting	Y	-0.550906643353197	0.137224757565307	202	195	9.37442632003495e-05	0.00161291499424163
N.Acetylalanine_130.1	Fasting	Y	0.392535066296577	0.0987320199094865	202	202	0.000100272502226306	0.00170192247021947
Adenine_136.1	Dx	Control	-0.592744655136364	0.147848539996858	202	202	0.000110622546729165	0.001828183140682
Valine_118.1	Gender	Male	0.202074656742034	0.049462816720702	202	202	0.000110304830014669	0.001828183140682
Cystine_241	Age	Age	0.141213603124815	0.0348506915895703	202	202	0.000114284283064226	0.00186416960426841
X2.6.Dihydroxypyridine_112	Age	Age	0.443824925176013	0.11105004956733	202	104	0.000138505626151245	0.0022302957236662
N.Acetyl.L.glutamine_189.1	Dx	Control	0.500278332873482	0.127061353515327	202	202	0.000150016320618786	0.00238506960376197
Trans.4.Hydroxy.L.Proline_132.1	Fasting	Y	-0.324818386740799	0.0840945426378057	202	202	0.000153984715701421	0.00241756003651232
Deoxyribose_133.1	Dx	Control	0.189619386553492	0.0480170368726789	202	202	0.000160009118207634	0.00248112904282455
Sn.Glycero.3.Phosphocholine_258.1	Dx	Control	0.48752478624825	0.123460695583315	202	202	0.0001634360623293	0.00250336212543416
Guanidinoacetate_118.1	Gender	Male	0.350072045612508	0.0896985846965153	202	202	0.000207838553070205	0.00314512316453226
Nicotinate_124	Fasting	Y	-0.0980685823047777	0.026086964933325	202	202	0.000224510564303974	0.00335696748530704
X2.Deoxy.D.Glucose.6.phosphate_243	Age	Age	0.1795630412677	0.0465348423034922	202	202	0.000231706164302782	0.00342379932193288
Alanine_90.1	Fasting	Y	-0.15478641285074	0.0421455997582432	202	202	0.000310964663749474	0.00448932893872804
Lysine_147.1	Age	Age	0.155725129498002	0.0413522153657854	202	202	0.000309628717896686	0.00448932893872804
X2.Methylmaleate_129	Age	Age	0.198242026821042	0.0522349354587859	202	202	0.000322204486594734	0.00459873676321574
X3.Hydroxyoctanoic.acid_159.1	Gender	Male	-0.414126319077034	0.110036660189796	202	202	0.000347343832139121	0.00490184104681726
Xanthine_151	Age	Age	-0.160528061596844	0.0431938841671844	202	202	0.000383677998190356	0.00535443961918985
N.Acetyl.L.glutamine_189.1	Fasting	Y	0.308164491657378	0.085378147258041	202	202	0.00039116338887717	0.00539891446626072
Betaine_118.1	Fasting	Y	-0.187597323763515	0.0520038432585514	202	202	0.00040374996191461	0.00551206469744293
Salicylate_137	Fasting	Y	-0.53635759379867	0.149476799675827	202	191	0.000441435516639855	0.00596175278386729
Cis.4.Hydroxy.D.Proline_132.1	Fasting	Y	-0.279512601661339	0.0792070035761268	202	202	0.000522462472506973	0.00698098793051871
X10.HAD_185.1	Fasting	Y	-0.436098385238611	0.123888041088814	202	201	0.000536870979215372	0.00709799947257376
Leucine_132.1	Gender	Male	0.205057030352913	0.0571628133165091	202	202	0.000585487919972603	0.00766013361964156
X2.Hydroxyhexadecanoic.acid_271.2	Fasting	Y	0.168982569366415	0.0485858610571521	202	202	0.000621625591551337	0.00804909013390184
Tetradecanoylcarnitine_372.3	Fasting	Y	0.851757863973753	0.246793347017969	202	140	0.000682644548655388	0.00874899543990987
Serotonin_177.1	Dx	Control	-0.591068970811967	0.168020910828419	202	202	0.000693250018299122	0.00879517194933028
Adenosine_268.1	Dx	Control	-1.11468982401743	0.320097834316631	202	202	0.000726064441319487	0.00904855855429267
N.Alpha.Acetyllysine_189.1	Age	Age	0.304680207969854	0.0870130533302904	202	171	0.000733056886437042	0.00904855855429267
Quinate_191.1	Fasting	Y	-0.880662200931631	0.256092362474151	202	149	0.000741518954769689	0.00904855855429267
Xylitol_151.1	Fasting	Y	-0.253842091248265	0.0740501774751717	202	202	0.000742039435582918	0.00904855855429267
Guanosine_284.1	Dx	Control	-1.16735215978788	0.336205449395349	202	189	0.000752674665136775	0.00908999403280567
N.N.Diethyl.P.phenylenediamine_137.1	Dx	Control	-0.333113771394061	0.0975307708804216	202	202	0.000773178649436596	0.0091829148861046
NAPQI_150.1	Fasting	Y	-0.638969516989658	0.187030642540726	202	202	0.000774991224464242	0.0091829148861046
Serotonin_177.1	Age	Age	-0.261838619660485	0.075353925676137	202	202	0.000785602173439458	0.00922164794242953
Stearic.acid_283.3	Fasting	Y	0.320014715558305	0.0948539576788497	202	202	0.000905510017741636	0.0105307461322546
Homocysteine_136	Fasting	Y	-0.247209974659111	0.0732949923166065	202	202	0.000915741780429555	0.0105520337267846
Homoserine_120.1	Dx	Control	0.230189242639878	0.0672223664962922	202	202	0.000928739838290283	0.0106045203353872
Mevalonate_147.1	Fasting	Y	-0.722712865625996	0.215654533326924	202	70	0.000964344171055386	0.0109118583679781
Creatinine_114.1	Gender	Male	0.184236231491321	0.0542173074076606	202	202	0.00105990235776165	0.0118158932359129
Omega.Hydroxydodecanoate_215.2	Fasting	Y	0.471915640019987	0.142029527718064	202	142	0.00106305408889981	0.0118158932359129
aminoadipate_162.1	Gender	Male	0.286331152167407	0.0846422675379395	202	202	0.00112216394428145	0.0123634904738377
Ribose_149	Dx	Control	-0.177358241284981	0.0527485590660425	202	202	0.00116381719753732	0.0127109078270163
Ornithine_133.1	Gender	Male	0.322820565703916	0.0966616700990267	202	202	0.0012951407319438	0.0140232479251846
Monoethylmalonate_131	Age	Age	0.113343608054645	0.0348144138662348	202	202	0.00133181191307846	0.0142970578019362
X2.Hydroxypyridine_96	Age	Age	0.62180756113991	0.1881250577529	202	188	0.00139537763450222	0.0143887763835855
Isoleucine_132.1	Gender	Male	0.182506778458705	0.0550258725263201	202	202	0.00139763592260942	0.0143887763835855
N.Acetylserine_146	Fasting	Y	-0.416556478207231	0.128464184050734	202	171	0.00139527639846613	0.0143887763835855
Nicotinate_124	Gender	Male	-0.101868762760708	0.0306465695510391	202	202	0.00138372511480093	0.0143887763835855
Rhamnose_163.1	Fasting	Y	-0.255844628131301	0.0788592752102872	202	201	0.0013836575592672	0.0143887763835855
acetyl.lysine_189.1	Gender	Male	-0.157474704889411	0.0474748349579402	202	202	0.0014605041243831	0.0149137656928876
N.Acetylputrescine_131.1	Gender	Male	-0.177179150301732	0.0541295150518765	202	202	0.00165368557860032	0.0167502345703387
Trans.4.Hydroxy.L.Proline_132.1	Age	Age	-0.190162595365551	0.0587459326731174	202	202	0.00167986354067299	0.0168792688566822
Palmitoleic.acid_253.2	Gender	Male	-0.421982137846452	0.130656237829534	202	202	0.00184481903062338	0.0183896246227219
X4.Acetamidobutanoate_146.1	Fasting	Y	-0.168248872625095	0.0534292716402618	202	202	0.00189390956781304	0.0187303182454581
Nicotinamide_123.1	Age	Age	-0.172697814365084	0.054199460847326	202	202	0.00206249913120671	0.0201281707871372
Propionyl.carnitine_218.1	Gender	Male	0.358261131944188	0.111794402432036	202	202	0.00206730416523941	0.0201281707871372
Threonine_120.1	Fasting	Y	-0.12480377400793	0.0401775952060166	202	202	0.00223728172672778	0.0216155834520777
Alpha.Tocopherol_429.4	Fasting	Y	0.426711486566547	0.138302711123643	202	202	0.00232581201450533	0.0222993884749518
Guanine_152.1	Age	Age	-0.269280166993011	0.085572480216386	202	199	0.00241481097763061	0.0229772923326064
Tyrosine_182.1	Fasting	Y	-0.123140968854063	0.040115608125615	202	202	0.00248822646159687	0.0234978378628997
Bilirubin_585.3	Fasting	Y	1.16684816043926	0.382061503759304	202	64	0.0025866301435816	0.0240652404469518
Creatinine_114.1	Age	Age	0.0770908774871434	0.0248406934175938	202	202	0.002569469681279	0.0240652404469518
X3.Methyl.2.Oxovalerate_129.1	Fasting	Y	0.156953646628245	0.0516794661865057	202	202	0.00273952431111259	0.0247664411796855
Aspartate_134	Dx	Control	0.572893720528728	0.186237779533532	202	202	0.00274087207322953	0.0247664411796855
Oxoproline_128	Dx	Control	0.252096228416202	0.0820382941752997	202	202	0.00273073771100868	0.0247664411796855
Thiopurine.S.Methylether_167	Fasting	Y	-1.01138215471742	0.333358320590209	202	72	0.00273990466063979	0.0247664411796855
Myo.Inositol_179.1	Age	Age	0.0737979752446101	0.0239865020814243	202	202	0.00286629764980464	0.0257147846296759
Glucose_179.1	Dx	Control	-0.180086095208392	0.0586951912180418	202	202	0.00295751349604094	0.0263449429150881
Hypoxanthine_137	Age	Age	-0.177405437393641	0.0570166620368168	202	202	0.00298304914129472	0.026385279728635
N.Acetyltryptophan_247.1	Age	Age	0.192467229085194	0.0639682240435699	202	202	0.00347787939720908	0.0305469686915707
Kynurenine_209.1	Fasting	Y	-0.11422925314762	0.038648566985174	202	202	0.00353761097717916	0.0308558290787294
