feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Proline_116.1	Fasting	Y	-0.288689183846137	0.0385550075560359	156	156	1.01462673847947e-11	1.27437118353022e-08
X3.hydroxybutyric.acid_103	Fasting	Y	1.08343145175016	0.15646241640076	156	156	3.27756621510266e-10	8.23324633233789e-08
Linoleic.acid_279.2	Fasting	Y	0.833862101545492	0.122264300860372	156	156	2.91845187653376e-10	8.23324633233789e-08
Oleic.acid_281.2	Fasting	Y	0.882866445369941	0.128963518437439	156	156	2.87010385308225e-10	8.23324633233789e-08
Palmitic.acid_255.2	Fasting	Y	0.638973036844794	0.0927344293764461	156	156	2.48271918013257e-10	8.23324633233789e-08
Glycochenodeoxycholate_448.3	Fasting	Y	-1.53797601048205	0.236510056091588	156	124	1.53508207002911e-09	3.21343846659427e-07
Fructose_179.1	Fasting	Y	-1.04603068883003	0.164414828116667	156	156	2.99933337736242e-09	5.38166103138171e-07
Docosahexaenoic.acid_327.2	Fasting	Y	0.605874840405632	0.0988104830341658	156	156	1.23942304000717e-08	1.72968370916557e-06
Hexanoyl.carnitine_260.2	Fasting	Y	0.556704066261627	0.0907911512618378	156	156	1.14035736144715e-08	1.72968370916557e-06
acetyl.carnitine_204.1	Fasting	Y	0.458408905018517	0.0763748813108928	156	156	1.77893188161349e-08	2.017725311496e-06
Glycerol.Myristate_301.2	Fasting	Y	0.861797287150845	0.143719447224439	156	103	1.83742043118325e-08	2.017725311496e-06
Palmitoleic.acid_253.2	Fasting	Y	0.722575782590817	0.120789164311419	156	156	1.92776303646115e-08	2.017725311496e-06
N.Acetylglycine_116	Fasting	Y	0.468736254011397	0.0778072902804617	156	156	2.45847706231869e-08	2.37526706944021e-06
Uridine_243.1	Fasting	Y	0.329419422074168	0.0570057200296754	156	156	4.94922988933993e-08	4.44016624357925e-06
Arachidonic.acid_303.2	Fasting	Y	0.494878539289373	0.0864228392124646	156	156	6.56218651961932e-08	5.49473751242791e-06
cis.11.Eicosenoic.acid_309.3	Fasting	Y	0.741414084414677	0.129653030334918	156	156	7.18208473036471e-08	5.63793651333629e-06
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Fasting	Y	0.895456320784258	0.160091420736586	156	149	1.2651756887574e-07	9.34741567693703e-06
cis.10.Nonadecenoic.acid_295.3	Fasting	Y	0.860881968257476	0.154909826928555	156	108	1.49947388154112e-07	1.04629955289758e-05
Octanoyl.carnitine_288.2	Fasting	Y	0.698930540932598	0.126500916629401	156	156	1.99182971949143e-07	1.31670427772697e-05
Ximeninic.Acid_277.2	Fasting	Y	0.696707387839969	0.129008731803126	156	156	3.02133422804331e-07	1.8973978952112e-05
Trigonelline_138.1	Fasting	Y	-1.05606948411899	0.195001688115793	156	156	3.77357016300695e-07	2.25695434511273e-05
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid_305.2	Fasting	Y	0.679883688518865	0.128615622054076	156	155	5.01547542562546e-07	2.86338051572072e-05
Sucrose_341.1	Fasting	Y	-0.96032054851736	0.182178253152813	156	117	5.5302417858744e-07	3.0199929056775e-05
cis.5.Dodecenoic.acid_197.2	Fasting	Y	0.865556540321815	0.167022343647881	156	150	8.07290149158679e-07	4.22481844726375e-05
Caffeine_195.1	Fasting	Y	-0.817225989458194	0.159271244472095	156	156	1.1398114325519e-06	5.72641263714076e-05
X4.Guanidinobutanoate_146.1	Fasting	Y	-0.688541472526503	0.137001111663527	156	154	1.590102761029e-06	7.41782278165194e-05
Linolenic.acid_277.2	Fasting	Y	0.688127399584814	0.13688620499244	156	156	1.59459566166085e-06	7.41782278165194e-05
Myristic.acid_227.2	Fasting	Y	0.484440534029959	0.0963067420938284	156	156	1.68386603378566e-06	7.55334192298141e-05
Myristoleic.acid_225.2	Fasting	Y	0.491680138846616	0.0983127812974164	156	156	1.82868410215042e-06	7.92009390448596e-05
X3..4.Hydroxyphenyl.Pyruvate_179	Fasting	Y	-0.547704277624556	0.110935088322974	156	156	2.34057127903376e-06	9.75480299317077e-05
Proline_116.1	Gender	Male	0.313470869787079	0.0582573250568335	156	156	2.40763449672208e-06	9.75480299317077e-05
X14.Methylhexadecanoic.acid_269.2	Fasting	Y	0.387469986529754	0.0791949159482275	156	156	2.95155012641338e-06	0.000115848342461725
Xylose_149	Fasting	Y	-0.379061354183121	0.0779624595211918	156	156	3.42593237337865e-06	0.000130393062453442
Propionyl.carnitine_218.1	Fasting	Y	-0.302396507080422	0.0649239812621633	156	156	8.88423040582337e-06	0.000328193923226887
Norvaline_118.1	Gender	Male	0.29221469835041	0.061677891389779	156	156	1.96317787315284e-05	0.000704500402479992
Mannitol_181.1	Fasting	Y	-0.957519461426713	0.217193656838643	156	156	2.14539422506694e-05	0.000748504207412243
X3.Hydroxyoctanoic.acid_159.1	Gender	Male	-0.581386415641211	0.12411521494542	156	156	2.68595840639434e-05	0.000911773988765212
Valine_118.1	Gender	Male	0.262188761703488	0.0569729164385753	156	156	3.039673573992e-05	0.0010046921076142
Acetaminophen_152.1	Fasting	Y	-1.16790258126661	0.271660074331312	156	129	3.62824242712018e-05	0.00116848012524691
X4.Imidazoleacetate_127.1	Age	Age	0.253251977876388	0.0552448833363576	156	154	4.58001043638889e-05	0.00143812327702611
Paraxanthine_181.1	Fasting	Y	-1.13016603290299	0.267209883145946	156	142	4.74958690795406e-05	0.00145499540399763
Caffeine_195.1	Age	Age	0.645077506803943	0.14595211749607	156	156	4.89153604416702e-05	0.00146280220749376
Glycocholate_464.3	Fasting	Y	-0.88638229706254	0.214683661997629	156	79	6.51595924976464e-05	0.00190326623667544
X9.Decenoic.acid_169.1	Fasting	Y	0.358778070724615	0.0870027992895002	156	156	6.66913722056765e-05	0.00190373553387113
Hypotaurine_110	Age	Age	-0.25101682675991	0.0583298631820486	156	156	8.21094315370065e-05	0.00229176546689956
Acetoacetate_101	Fasting	Y	0.578710815199135	0.144897059031787	156	156	0.000110304868005156	0.0030118024829234
X1.Methyladenosine_282.1	CRP_Category	Normal	-0.178456599341264	0.0450324449102082	156	156	0.000119104819740556	0.00318288624668381
Ornithine_133.1	Gender	Male	0.47511319350201	0.114898352830462	156	156	0.000137839780295683	0.00360680758440372
Cystine_241	Age	Age	0.182882613696766	0.0443603959715209	156	156	0.000157884787477057	0.00404700598104457
X2.Deoxy.D.Glucose.6.phosphate_243	Age	Age	0.242134796467469	0.0589428031421596	156	156	0.000170259342833298	0.00427691469197245
Palmitoyl.carnitine_400.3	Fasting	Y	0.324090382251624	0.0842927007836362	156	156	0.00019046400768516	0.00469064301279532
Propionyl.carnitine_218.1	Gender	Male	0.545751481850955	0.134349218690963	156	156	0.000206427612862789	0.00498602080299351
Xanthine_153	Gender	Male	-0.672687313384713	0.164902001498729	156	125	0.000217073046951601	0.00514422164096624
