feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X3.hydroxybutyric.acid_103	Fasting	Y	1.06415378351739	0.150067680291643	156	156	1.01061506458457e-10	6.34666260559111e-08
Proline_116.1	Fasting	Y	-0.275872165945754	0.0387472126850816	156	156	5.66823235828551e-11	6.34666260559111e-08
Linoleic.acid_279.2	Fasting	Y	0.803430432788319	0.118462699731556	156	156	3.09262118024779e-10	9.26228891637919e-08
Oleic.acid_281.2	Fasting	Y	0.84323524262033	0.1247305285994	156	156	3.68721692531019e-10	9.26228891637919e-08
Palmitic.acid_255.2	Fasting	Y	0.613641360420835	0.0896076083407358	156	156	2.39936942459099e-10	9.26228891637919e-08
Glycerol.Myristate_301.2	Fasting	Y	0.87055215839355	0.13667496554905	156	103	2.76671621846533e-09	4.96427938627494e-07
Glycochenodeoxycholate_448.3	Fasting	Y	-1.44664425082137	0.227121263839749	156	124	2.64938604658208e-09	4.96427938627494e-07
Hexanoyl.carnitine_260.2	Fasting	Y	0.566169999639988	0.0893549902112848	156	156	3.6066211762745e-09	5.66239524675097e-07
Fructose_179.1	Fasting	Y	-0.992895356671749	0.162455787788187	156	156	9.27045981805474e-09	1.29374417016408e-06
Docosahexaenoic.acid_327.2	Fasting	Y	0.583074370830061	0.0970075339248281	156	156	1.88084271730289e-08	2.16310489538456e-06
Palmitoleic.acid_253.2	Fasting	Y	0.694780350029321	0.116453308388843	156	156	1.89443900073488e-08	2.16310489538456e-06
acetyl.carnitine_204.1	Fasting	Y	0.444065915859798	0.0751687817510849	156	156	2.60335353091827e-08	2.72484336236112e-06
Arachidonic.acid_303.2	Fasting	Y	0.495698276848194	0.0842362291418187	156	156	2.84570226794739e-08	2.7493861911861e-06
N.Acetylglycine_116	Fasting	Y	0.463062957506142	0.0786908404843344	156	156	3.73458061873402e-08	3.35045232652138e-06
Trigonelline_138.1	Fasting	Y	-1.07906185794031	0.189466869834273	156	156	9.26200699746312e-08	7.75538719254245e-06
Uridine_243.1	Fasting	Y	0.320282817479082	0.0573251171664709	156	156	1.15660290772506e-07	9.07933282564175e-06
Octanoyl.carnitine_288.2	Fasting	Y	0.699934929473884	0.126689598477362	156	156	1.77085996988969e-07	1.30835301304791e-05
cis.10.Nonadecenoic.acid_295.3	Fasting	Y	0.831280464794768	0.151703888970883	156	108	1.98884872485076e-07	1.38777444356253e-05
cis.11.Eicosenoic.acid_309.3	Fasting	Y	0.671436401394308	0.123257855652045	156	156	2.32338754734104e-07	1.53588145234755e-05
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Fasting	Y	0.819044696925379	0.152672467773874	156	149	3.35727323733448e-07	2.10836759304606e-05
Sucrose_341.1	Fasting	Y	-0.965251371844322	0.180797165084473	156	117	3.78102548355438e-07	2.26141333683062e-05
Proline_116.1	Gender	Male	0.320601632636483	0.0550765320885635	156	156	4.87022770081384e-07	2.7804572691919e-05
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid_305.2	Fasting	Y	0.646963469087733	0.12500017524578	156	155	7.78535378003892e-07	4.25148015118647e-05
Caffeine_195.1	Fasting	Y	-0.803935347615816	0.155096469124511	156	156	8.23934697550065e-07	4.31192491717867e-05
Ximeninic.Acid_277.2	Fasting	Y	0.656630435426447	0.128263658744991	156	156	1.0094392194074e-06	5.07142263830278e-05
X3..4.Hydroxyphenyl.Pyruvate_179	Fasting	Y	-0.552647455887676	0.108849111820723	156	156	1.21815498716118e-06	5.88462563028632e-05
cis.5.Dodecenoic.acid_197.2	Fasting	Y	0.823284326460052	0.167175439527885	156	150	2.36703797186728e-06	0.000110111099728344
Xylose_149	Fasting	Y	-0.36966201674058	0.0750921265263764	156	156	2.54009818989752e-06	0.000113941547375403
X14.Methylhexadecanoic.acid_269.2	Fasting	Y	0.371121428684992	0.0758413875231258	156	156	2.78786343396659e-06	0.000120743326657312
X4.Guanidinobutanoate_146.1	Fasting	Y	-0.665363570410442	0.136634033584875	156	154	3.02864102891406e-06	0.000122708810719873
Myristoleic.acid_225.2	Fasting	Y	0.470499099503413	0.0964532717876621	156	156	2.94849493159196e-06	0.000122708810719873
Propionyl.carnitine_218.1	Fasting	Y	-0.30060802193209	0.0618723940026735	156	156	3.50399210242169e-06	0.000137531690020051
Linolenic.acid_277.2	Fasting	Y	0.642740214884685	0.133739680919298	156	156	3.95484427929329e-06	0.00014609660043507
Norvaline_118.1	Gender	Male	0.303650646776355	0.058322868757785	156	156	3.89480349799118e-06	0.00014609660043507
Myristic.acid_227.2	Fasting	Y	0.452455806605588	0.0946153758629561	156	156	4.48942268072203e-06	0.000161106139628196
Valine_118.1	Gender	Male	0.274842881658423	0.0549095442043869	156	156	7.73949568450679e-06	0.000270022404992793
Caffeine_195.1	Age	Age	0.635182929467643	0.138517047088289	156	156	2.49435163830277e-05	0.000846731258840074
Hypotaurine_110	Age	Age	-0.269678858227126	0.0584414878632813	156	156	2.63757588405097e-05	0.00087178823957053
Paraxanthine_181.1	Fasting	Y	-1.10540135285172	0.255758513981517	156	142	3.1262815611381e-05	0.00100682298481781
Mannitol_181.1	Fasting	Y	-0.891176482313	0.207499423798132	156	156	3.29700765563682e-05	0.00103526040386996
Deoxyguanosine_268.1	Disease_Status	CD_Remission	0.650550515119167	0.153137515441213	156	60	3.75501595315417e-05	0.00115031708223455
Deoxycholate_391.3	Disease_Status	CD_Remission	0.549093182350055	0.131270542035125	156	156	4.86775605917789e-05	0.00145569085960177
Cystine_241	Age	Age	0.191405868116964	0.0431428705379816	156	156	5.0352628508049e-05	0.00147076514897929
