feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Oleic.acid_281.2	Fasting	Y	1.02949833367785	0.133137456871634	156	156	7.40544132558552e-12	3.72353438308534e-09
Palmitic.acid_255.2	Fasting	Y	0.727627804386849	0.0943628478171224	156	156	8.73251165772281e-12	3.72353438308534e-09
Proline_116.1	Fasting	Y	-0.314621229378888	0.0409624850931751	156	156	8.89379231628663e-12	3.72353438308534e-09
Linoleic.acid_279.2	Fasting	Y	0.958650389019229	0.128669903064301	156	156	2.37278779192545e-11	7.4505536666459e-09
X3.hydroxybutyric.acid_103	Fasting	Y	1.22227123283634	0.161113120857456	156	156	3.10839162330923e-11	7.59294347002818e-09
acetyl.carnitine_204.1	Fasting	Y	0.56316822833177	0.0760915765567372	156	156	3.62720229459945e-11	7.59294347002818e-09
Palmitoleic.acid_253.2	Fasting	Y	0.858993653254685	0.122524152060242	156	156	2.02554776421717e-10	3.63441141693824e-08
Docosahexaenoic.acid_327.2	Fasting	Y	0.684984731426306	0.102265391743765	156	156	1.33181054206825e-09	2.09094255104715e-07
Arachidonic.acid_303.2	Fasting	Y	0.553083818369521	0.0866748951024764	156	156	4.59201556536982e-09	6.23244863296155e-07
Hexanoyl.carnitine_260.2	Fasting	Y	0.613936011366411	0.0958126831115224	156	156	4.96214063133881e-09	6.23244863296155e-07
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid_305.2	Fasting	Y	0.830349857871112	0.132544317405284	156	155	7.9034523210197e-09	9.0243055592734e-07
Glycerol.Myristate_301.2	Fasting	Y	0.942337804837239	0.151224457033766	156	103	9.1661669420047e-09	9.59392139929826e-07
Uridine_243.1	Fasting	Y	0.355432780748916	0.0575044352564288	156	156	1.09201811284699e-08	1.05505749979678e-06
cis.11.Eicosenoic.acid_309.3	Fasting	Y	0.832426593608585	0.134559933462851	156	156	1.22665941559672e-08	1.10048873284963e-06
Glycochenodeoxycholate_448.3	Fasting	Y	-1.50017411238473	0.252201624535948	156	124	3.45914989168801e-08	2.89646150930676e-06
X3..4.Hydroxyphenyl.Pyruvate_179	Fasting	Y	-0.676220478258361	0.115080752308767	156	156	4.75410286652563e-08	3.73197075022262e-06
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Fasting	Y	1.00225385315781	0.171389724321736	156	149	5.50569555189095e-08	4.06773741951473e-06
Trigonelline_138.1	Fasting	Y	-1.21591178592135	0.205806060382947	156	156	6.14493630675145e-08	4.28780000071101e-06
N.Acetylglycine_116	Fasting	Y	0.436045089146106	0.0750422301383617	156	156	9.19271219259376e-08	6.07686658626198e-06
Fructose_179.1	Fasting	Y	-1.04664346877826	0.183316818235605	156	156	9.82609255761761e-08	6.17078612618386e-06
Myristoleic.acid_225.2	Fasting	Y	0.576433022377792	0.10153073768266	156	156	1.21519052311852e-07	7.26799665255651e-06
Caffeine_195.1	Fasting	Y	-0.912062644153791	0.165126997296984	156	156	2.64771962303385e-07	1.44588515066544e-05
Octanoyl.carnitine_288.2	Fasting	Y	0.741805007034185	0.133933413132117	156	156	2.55752540747801e-07	1.44588515066544e-05
cis.5.Dodecenoic.acid_197.2	Fasting	Y	0.973592114737208	0.178513298418793	156	150	3.16946242800387e-07	1.65868533732203e-05
Ximeninic.Acid_277.2	Fasting	Y	0.760140216459247	0.140826155281554	156	156	4.34255761932626e-07	2.18170094794952e-05
Xylose_149	Fasting	Y	-0.424843291971382	0.0794449880982319	156	156	5.72586633433823e-07	2.76603389074185e-05
cis.10.Nonadecenoic.acid_295.3	Fasting	Y	0.837716192910946	0.159741527927185	156	108	8.12023052894409e-07	3.64250340869778e-05
Myristic.acid_227.2	Fasting	Y	0.519499160457129	0.0985671177562406	156	156	7.84711249462014e-07	3.64250340869778e-05
X14.Methylhexadecanoic.acid_269.2	Fasting	Y	0.408413855678363	0.0783203364506821	156	156	9.65824341666307e-07	4.18301852804442e-05
X4.Guanidinobutanoate_146.1	Fasting	Y	-0.744877271912196	0.145126039177678	156	154	1.25661793855891e-06	5.26104043609997e-05
Linolenic.acid_277.2	Fasting	Y	0.759227893171613	0.149397218533226	156	156	1.66719372489712e-06	6.75482360797028e-05
