feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X3.hydroxybutyric.acid_103	Fasting	Y	1.20830701123961	0.156238050513293	156	156	1.53662000574162e-11	1.59683759021571e-08
Oleic.acid_281.2	Fasting	Y	0.990258039537865	0.131733221314271	156	156	2.74066527891243e-11	1.59683759021571e-08
Palmitic.acid_255.2	Fasting	Y	0.703346691096036	0.0932874695445943	156	156	2.44912085151691e-11	1.59683759021571e-08
Proline_116.1	Fasting	Y	-0.314642783882438	0.0420213238610065	156	156	3.39031335502274e-11	1.59683759021571e-08
acetyl.carnitine_204.1	Fasting	Y	0.532382329917566	0.0735319534911278	156	156	1.09820872253687e-10	4.13805046651892e-08
Linoleic.acid_279.2	Fasting	Y	0.892949909008613	0.127530470704259	156	156	2.80331928061974e-10	8.80242254114599e-08
Docosahexaenoic.acid_327.2	Fasting	Y	0.704354942325972	0.102936737251832	156	156	7.67743447019746e-10	2.066326648836e-07
Palmitoleic.acid_253.2	Fasting	Y	0.801144687205368	0.123194025134395	156	156	2.90279586546882e-09	6.83608426317907e-07
N.Acetylglycine_116	Fasting	Y	0.46220745238824	0.0711923190505057	156	156	4.88115554387588e-09	1.02178856051802e-06
Uridine_243.1	Fasting	Y	0.364426067905071	0.0577932860982515	156	156	7.48802402467355e-09	1.4107437262485e-06
Hexanoyl.carnitine_260.2	Fasting	Y	0.613726356954629	0.0971771211895651	156	156	9.20586814260013e-09	1.57671414369624e-06
Arachidonic.acid_303.2	Fasting	Y	0.537588580708247	0.0881745617211936	156	156	2.0560075310562e-08	3.09594012588486e-06
Glycochenodeoxycholate_448.3	Fasting	Y	-1.51376733630302	0.248970428737629	156	124	2.13626441807341e-08	3.09594012588486e-06
Fructose_179.1	Fasting	Y	-1.10136672170348	0.182537561807511	156	156	2.72822250401035e-08	3.67140799825393e-06
cis.11.Eicosenoic.acid_309.3	Fasting	Y	0.803305691051768	0.134148819112857	156	156	3.47385295358073e-08	4.36315930969739e-06
Trigonelline_138.1	Fasting	Y	-1.24141801312941	0.207990222816975	156	156	4.96966802977914e-08	5.85178410506494e-06
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid_305.2	Fasting	Y	0.792861001702868	0.135411251395896	156	155	6.44944864415958e-08	7.14750661505685e-06
Glycerol.Myristate_301.2	Fasting	Y	0.893482144196292	0.153639574393227	156	103	7.41860305391527e-08	7.76480452976465e-06
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Fasting	Y	0.958424378649173	0.167391232307675	156	149	1.08107504684072e-07	1.07197125697259e-05
X3..4.Hydroxyphenyl.Pyruvate_179	Fasting	Y	-0.672248679584973	0.119364886558737	156	156	1.67661543862037e-07	1.57937174318039e-05
Caffeine_195.1	Fasting	Y	-0.936755571160687	0.167721627280474	156	156	2.15799959600384e-07	1.93603392327201e-05
Octanoyl.carnitine_288.2	Fasting	Y	0.754889693221534	0.135296043684674	156	156	2.34244526080556e-07	2.00598494152622e-05
Myristoleic.acid_225.2	Fasting	Y	0.571291543658253	0.103239933881661	156	156	2.60587449636009e-07	2.13455110919235e-05
X4.Guanidinobutanoate_146.1	Fasting	Y	-0.800115632296235	0.146447737067309	156	154	3.34817090106027e-07	2.62831415733231e-05
cis.5.Dodecenoic.acid_197.2	Fasting	Y	0.984924710947025	0.181008328843931	156	150	3.91112885898182e-07	2.9474267081287e-05
cis.10.Nonadecenoic.acid_295.3	Fasting	Y	0.852961308974701	0.160878016153858	156	108	7.0774497395397e-07	5.12842896511262e-05
Myristic.acid_227.2	Fasting	Y	0.517633282549779	0.0990294386608941	156	156	1.07740471496397e-06	7.31549360395599e-05
Xylose_149	Fasting	Y	-0.42336100285515	0.0810241207318128	156	156	1.08722834878327e-06	7.31549360395599e-05
Ximeninic.Acid_277.2	Fasting	Y	0.716069148610622	0.139704103930016	156	156	1.53525016077419e-06	9.97383207896061e-05
X14.Methylhexadecanoic.acid_269.2	Fasting	Y	0.405247608443846	0.0800994685961683	156	156	2.00278638554563e-06	0.000125774985012265
Octanoic.acid_143.1	Disease_Status	CD_Remission	-0.632522388409862	0.129290491771486	156	156	3.13153233547327e-06	0.000190316352259085
X3.Hydroxyoctanoic.acid_159.1	Gender	Male	-0.6473100958632	0.125120674373526	156	156	5.73527172123087e-06	0.000337664122587467
Proline_116.1	Gender	Male	0.302432204335181	0.0572699569081238	156	156	5.98143945112081e-06	0.000341485815936715
Linolenic.acid_277.2	Fasting	Y	0.698472419858925	0.148946338553592	156	156	9.07530953739245e-06	0.000495167153964168
Sucrose_341.1	Fasting	Y	-0.914168646964361	0.195301582685813	156	117	9.19896517449356e-06	0.000495167153964168
Mannitol_181.1	Fasting	Y	-0.920658098212946	0.200949082194558	156	156	1.33179420460122e-05	0.000696972300407973
Propionyl.carnitine_218.1	Fasting	Y	-0.322149618586244	0.0703773168565031	156	156	1.5030471655185e-05	0.000765335367523472
Acetoacetate_101	Fasting	Y	0.684985435726652	0.15370796932435	156	156	2.26987040502042e-05	0.00109719680480664
Deoxycarnitine_146.1	Gender	Male	0.401104471850054	0.084018766031185	156	156	2.27126727109654e-05	0.00109719680480664
N.Acetylputrescine_131.1	Fasting	Y	-0.172455655819275	0.0386682363919972	156	156	2.42046343462149e-05	0.00114003827770672
Norvaline_118.1	Gender	Male	0.291654445385504	0.0620633651933727	156	156	3.39586543853317e-05	0.00156044158199915
Paraxanthine_181.1	Fasting	Y	-1.1750866238537	0.270316840981341	156	142	3.73591615721853e-05	0.0016758252476666
Valine_118.1	Gender	Male	0.2682623554167	0.0580298882821952	156	156	4.66744030780747e-05	0.0020449901255603
X9.Decenoic.acid_169.1	Fasting	Y	0.405597575390395	0.0960201561165991	156	156	5.40044103911893e-05	0.00231237066311365
Xanthine_153	Gender	Male	-0.788688840732522	0.177845017005042	156	125	8.79052131871874e-05	0.00368029825877025
Glycocholate_464.3	Fasting	Y	-0.931607625214185	0.234936695581763	156	79	0.000137476947361222	0.00563057758322917
Dimethylarginine_203.2	Fasting	Y	0.139227250753946	0.0354965401811143	156	156	0.000169276861859125	0.00678548101579983
Monoethylmalonate_131	Age	Age	0.215592948401672	0.0557785893603379	156	156	0.000180670560771092	0.00709131951026535
N.Acetylputrescine_131.1	CRP_Category	Normal	-0.204248381163635	0.0529637279310344	156	156	0.000186545825404648	0.00717249663392565
Acetaminophen_152.1	Fasting	Y	-1.02433952154456	0.26504656981768	156	129	0.000209096367162626	0.00787875111468775
Guanidinoacetate_118.1	Gender	Male	0.424957561138562	0.104849961682286	156	156	0.000233207557214687	0.00861496152534255
Palmitoyl.carnitine_400.3	Fasting	Y	0.342042657430895	0.0901930427100441	156	156	0.000257270136480437	0.00932109494479121
Glycerol_91	Fasting	Y	0.303473723908336	0.0795183573729321	156	156	0.000267379202348049	0.0095045739098816
X4.Imidazoleacetate_127.1	Age	Age	0.240984680806181	0.0619736375307573	156	154	0.000282684282346395	0.00986254051741867
acetyl.carnitine_204.1	Disease_Status	CD_Remission	-0.38090121175389	0.10208805246907	156	156	0.000293516391612607	0.0100542705781482
Glucosamine_180.1	Fasting	Y	-0.132087441035446	0.0349146196510293	156	156	0.000299259220715554	0.0100679352112161
Sarcosine_90.1	Fasting	Y	-0.212960146584548	0.0569130086293859	156	156	0.00030776188207893	0.0101723401023983
Deoxyguanosine_268.1	Disease_Status	CD_Remission	0.77805714374022	0.210158658159713	156	60	0.000324736305184819	0.0105483310166931
Galacturonate_193	Age	Age	0.281330712863199	0.0694183383294587	156	156	0.000336051334096384	0.0107308595497896
X2.3.Dihydroxybenzoate_153	Fasting	Y	-0.564063806520659	0.151526897035443	156	153	0.000348513683606877	0.0109433296652559
Propionyl.carnitine_218.1	Gender	Male	0.543585412777208	0.139004250873698	156	156	0.000356609611098571	0.0110139755296673
Leucine_132.1	Gender	Male	0.255218179164865	0.0655886848087811	156	156	0.000386813460349999	0.0117541380532161
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Disease_Status	CD_Remission	-0.853064943862122	0.233838253493341	156	149	0.000393341278316999	0.0117627772753845
X3.hydroxybutyric.acid_103	Disease_Status	CD_Remission	-0.824511333346823	0.228072048694376	156	156	0.00044797979654085	0.0131874052606713
