feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Glycerol.Myristate_301.2	Fasting	Y	0.939047367216969	0.160081579146294	97	68	1.07277838876195e-07	2.75849499319662e-05
Linoleic.acid_279.2	Fasting	Y	0.853863604121169	0.143110209840811	97	97	6.45829887358359e-08	2.75849499319662e-05
Oleic.acid_281.2	Fasting	Y	0.855411718731453	0.144172880669377	97	97	7.80468069707374e-08	2.75849499319662e-05
Palmitic.acid_255.2	Fasting	Y	0.588098057210645	0.100529873089111	97	97	1.09812698773751e-07	2.75849499319662e-05
Proline_116.1	Fasting	Y	-0.282799328992143	0.047507936283894	97	97	7.74861941779827e-08	2.75849499319662e-05
Uridine_243.1	Fasting	Y	0.392059866429879	0.0683696852141825	97	97	1.87716294870333e-07	3.92952777261897e-05
X3.hydroxybutyric.acid_103	Fasting	Y	0.991389742973167	0.177676315496925	97	97	3.34028727130874e-07	5.99342973251969e-05
Palmitoleic.acid_253.2	Fasting	Y	0.693257130882569	0.126664541287523	97	97	4.97025764922046e-07	7.80330450927612e-05
Fructose_179.1	Fasting	Y	-1.13916224694657	0.209998322053778	97	97	6.31196631430578e-07	8.80869965640895e-05
N.Acetylglycine_116	Fasting	Y	0.408540295685227	0.0754121771781231	97	97	7.51072259653216e-07	9.08096421642904e-05
Norvaline_118.1	Gender	Male	0.414676997800224	0.0617423236776013	97	97	7.95307375642671e-07	9.08096421642904e-05
Docosahexaenoic.acid_327.2	Fasting	Y	0.624096429768396	0.116722458885277	97	97	9.6434104209864e-07	0.000100934362406324
Valine_118.1	Gender	Male	0.373064225827551	0.0575394639422983	97	97	1.13812598550067e-06	0.000109960479829911
Trigonelline_138.1	Fasting	Y	-1.06371103725643	0.201595615071264	97	97	1.27921091531548e-06	0.000114763493545445
Hexanoyl.carnitine_260.2	Fasting	Y	0.544328748712642	0.108225065930628	97	97	3.42784756184659e-06	0.000287025102511955
Arachidonic.acid_303.2	Fasting	Y	0.492384641559475	0.0989232378892442	97	97	4.09779437321391e-06	0.000321676858297292
acetyl.carnitine_204.1	Fasting	Y	0.451293218694901	0.0916988851604036	97	97	4.79719571584753e-06	0.000354428107006147
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Fasting	Y	0.916898675851841	0.190862288881514	97	90	7.45135150836726e-06	0.000500927058207716
Octanoyl.carnitine_288.2	Fasting	Y	0.704883071569135	0.146058494076135	97	97	7.57771823721863e-06	0.000500927058207716
cis.11.Eicosenoic.acid_309.3	Fasting	Y	0.710850214875387	0.149761771230191	97	97	9.21789618454587e-06	0.000551317981323315
Propionyl.carnitine_218.1	Fasting	Y	-0.323612523271234	0.0676990492624447	97	97	8.80252107530626e-06	0.000551317981323315
Leucine_132.1	Gender	Male	0.347700504445248	0.0636704383377529	97	97	1.52058474978e-05	0.000835873086304616
Xylose_149	Fasting	Y	-0.429067011523644	0.0926843639856386	97	97	1.53065931409285e-05	0.000835873086304616
Proline_116.1	Gender	Male	0.384719084495355	0.0687467455268202	97	97	1.82358022795321e-05	0.000954340319295514
Ximeninic.Acid_277.2	Fasting	Y	0.690176542518081	0.154359061389797	97	97	2.61744950173941e-05	0.00131500662967388
X3..4.Hydroxyphenyl.Pyruvate_179	Fasting	Y	-0.613588370159989	0.138078723087226	97	97	2.9091851048315e-05	0.00140536018910322
Isoleucine_132.1	Gender	Male	0.336562193179632	0.0655575451883088	97	97	3.71113779328496e-05	0.001726366321617
Caffeine_195.1	Fasting	Y	-0.785124978948438	0.179375897531293	97	97	3.96014665757377e-05	0.00177640864354023
Linolenic.acid_277.2	Fasting	Y	0.70248925411646	0.161604021139465	97	97	4.13932587849695e-05	0.00179275631151454
cis.5.Dodecenoic.acid_197.2	Fasting	Y	0.81549496700686	0.188801421811629	97	94	4.62057275670984e-05	0.00193447979414252
X4.Guanidinobutanoate_146.1	Fasting	Y	-0.750101194105562	0.175588256801583	97	96	5.56606400154621e-05	0.00225515367288453
