feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Didecanoyl.Glycerophosphocholine_566.4	Dx	Control	-3.04437176389424	0.267555303170744	293	238	7.61697938791797e-18	9.3688846471391e-15
Threitol_121.1	Dx	Control	-2.57073193389518	0.247625748529329	293	246	5.79556130438427e-17	3.56427020219633e-14
N6..Delta2.Isopentenyl..Adenine_204.1	Dx	Control	-3.06115619048716	0.398823292221747	293	191	3.6199333722291e-12	1.48417268261393e-09
N.Formyl.L.Methionine_176	Dx	Control	2.78486744722146	0.409003098516253	293	269	5.07678575246802e-10	1.56111161888392e-07
Homoserine_120.1	Dx	Control	-1.03356419629091	0.155903620835313	293	293	1.37637365931354e-09	3.38587920191132e-07
N.Formylglycine_102	Dx	Control	1.75529206160403	0.285982397075624	293	290	1.34618627359823e-08	2.5490814860576e-06
Pyridoxine_170.1	Dx	Control	-1.49749494642187	0.23856966849903	293	293	1.45069678068318e-08	2.5490814860576e-06
Methionine.Sulfoximine_181.1	Dx	Control	-1.24612514334704	0.231294409717414	293	280	3.73687537801726e-07	5.74544589370154e-05
cis.5.Dodecenoic.acid_197.2	Dx	Control	-2.64373620771046	0.536416113441261	293	271	1.40540464529428e-06	0.000192071968190218
Lithocholyltaurine_482.3	Age	Age	-0.609627226450618	0.126383995403794	293	85	9.28786452977385e-06	0.00114240733716218
Ureidopropionate_133.1	Dx	Control	-1.85803040652508	0.425114575399172	293	194	2.39348414063396e-05	0.00267635044816343
X2.Aminophenol_108	Dx	Control	-1.08184789574462	0.259516659228191	293	199	4.06402353750967e-05	0.00416562412594741
cis.10.Nonadecenoic.acid_295.3	Dx	Control	1.04344660778815	0.248929617283942	293	282	5.17058021535184e-05	0.00489216435760213
Beta.hydroxyvaleric.Acid_117.1	Dx	Control	-0.735275139974978	0.178396270837097	293	293	7.03792789436513e-05	0.0057711008733794
Gulonolactone_177	Dx	Control	-0.773246264775315	0.185434109786852	293	293	6.81088768734304e-05	0.0057711008733794
X3.hydroxybutyric.acid_103	Dx	Control	-0.724576471067909	0.176236086649763	293	293	7.56702827970126e-05	0.00581715299002034
Eicosapentaenoic.acid_301.2	Dx	Control	1.04771035677484	0.266191790041637	293	282	0.000128630101181748	0.00930676614432645
Deoxycarnitine_146.1	Dx	Control	-1.3442845587683	0.342524711011189	293	293	0.000152635681886015	0.0104301049288777
Beta.Alanine_90.1	Dx	Control	-1.02618729819406	0.264912340914208	293	291	0.0001739867850953	0.0107001872833609
N.Acetylleucine_172.1	Dx	Control	-0.886354518886186	0.227679065386376	293	288	0.000165406693589208	0.0107001872833609
N.Acetylneuraminate_310.1	Dx	Control	-1.35171264249036	0.350917005729545	293	291	0.000206815910761138	0.012113503344581
Isoleucine_132.1	Dx	Control	-1.16574451025329	0.30685992775427	293	293	0.000237459729710886	0.0131979391409202
Mannitol_181.1	Dx	Control	-0.960966423396713	0.25342963846269	293	293	0.000246790731903386	0.0131979391409202
Octanoic.acid_143.1	Dx	Control	0.861433225567277	0.227250750155151	293	293	0.000258951909031469	0.0132712853378628
Indole.3.Pyruvate_204.1	Dx	Control	-0.772070458794059	0.207135293372518	293	293	0.000299618437831459	0.0147412271413078
X3..2.Hydroxyphenyl.Propanoate_165.1	Dx	Control	-0.63621419066104	0.172211122151695	293	293	0.000357709829535884	0.0159843421973322
Thiopurine.S.Methylether_167	Dx	Control	-0.637821219279494	0.173223798921544	293	293	0.000354526884483264	0.0159843421973322
Threonine_120.1	Dx	Control	-0.795794194786615	0.216496738396661	293	293	0.000363871204492114	0.0159843421973322
Riboflavin_377.1	Dx	Control	-1.82334697044926	0.496982459700882	293	238	0.000378381035736686	0.0160485749640043
Trans.4.Hydroxy.L.Proline_132.1	Dx	Control	-0.581107697604553	0.159698772618162	293	291	0.000431398615025559	0.0176873432160479
Urate_167	Dx	Control	-1.42600798267815	0.396266654102724	293	286	0.000505044289220549	0.0200388540561702
Phenylalanine_166.1	Dx	Control	-1.17780128262571	0.339524159325587	293	293	0.000760775613928373	0.0292423126603719
Deoxycytidine_228.1	Dx	Control	-0.685304770799901	0.197129608761363	293	291	0.000791474648160062	0.0295004187041478
Dodecanoic.acid_199.2	Gender	Male	-0.586751651719116	0.167427766469428	293	293	0.000828519161842844	0.029972899090197
X10.Hydroxydecanoic.acid_187.1	Dx	Control	-0.866932378640378	0.253474767191108	293	282	0.000923675907800668	0.0307059828809411
X6.Carboxyhexanoate_159.1	Dx	Control	-0.828654832778151	0.241162472499304	293	293	0.000913841949477033	0.0307059828809411
Rhamnose_163.1	Dx	Control	-0.554459932903482	0.162745137423283	293	293	0.00090044351154134	0.0307059828809411
X5.Aminopentanoate_118.1	Dx	Control	-0.925468210920374	0.276962197340027	293	293	0.00112547774081888	0.0329604195525529
Cys.Gly_177	Dx	Control	-0.746850116140736	0.221408203963415	293	289	0.00110814493905805	0.0329604195525529
Dimethylarginine_203.2	Gender	Male	1.10583420233965	0.325640807226395	293	292	0.00110769124179976	0.0329604195525529
Methionine_150.1	Dx	Control	-0.935167906559585	0.277744963948307	293	293	0.001037140477285	0.0329604195525529
Shikimate_173	Age	Age	0.678081543024957	0.199845544682188	293	293	0.00104566772711697	0.0329604195525529
Linoleic.acid_279.2	Dx	Control	0.886183135689188	0.267774840464231	293	293	0.00120060469342282	0.0342382441837342
Methylarginine_189.1	Gender	Male	0.959321974566433	0.281436275043732	293	240	0.00122478271876773	0.0342382441837342
Nicotinamide_123.1	Dx	Control	-1.77399806502184	0.538826124008232	293	288	0.00138214972844518	0.0377787592441681
Citrate_191	Dx	Control	-1.00301075309309	0.305226382715522	293	293	0.00143440516623644	0.0383547468363223
Glucuronolactone_175	Dx	Control	-1.02604874621195	0.314982610335844	293	293	0.00152744441713111	0.0395091310576291
Indole.3.Methyl.Acetate_190.1	Age	Age	0.535759985196188	0.163616010054996	293	282	0.00156955873657986	0.0395091310576291
Indoxyl.Glucoside_294.1	Dx	Control	-1.0396554172373	0.31744364545484	293	265	0.0015739409933527	0.0395091310576291
cis.7.10.13.16.Docosatetraenoic.acid_331.3	Age	Age	-0.80790295087778	0.2492764505765	293	150	0.00181602656141507	0.0446742534108108
X14.Methylhexadecanoic.acid_269.2	Dx	Control	0.61036014416856	0.190762911396814	293	293	0.00190928367622244	0.0451619023414153
Raffinose_503.2	Dx	Control	-1.07049988412594	0.334895923051459	293	290	0.00188411700674631	0.0451619023414153
Citramalate_147	Dx	Control	-0.558184638148373	0.177220287007738	293	293	0.00212983001214428	0.0494281304705182
Mesaconic.acid_129	Dx	Control	-0.508902737614374	0.16345204700289	293	293	0.00233225139162752	0.0531235039204046
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine_221.1	Age	Age	-0.580321870891483	0.187317573611494	293	286	0.0026788827295745	0.056127790680309
X2.hydroxyglutarate_147	Dx	Control	-0.568220310677112	0.18485328763528	293	293	0.00263010649393498	0.056127790680309
Fructose_179.1	Dx	Control	-0.749609753938302	0.242934411735845	293	293	0.00261417956764365	0.056127790680309
Raffinose_503.2	Age	Age	0.439639667974165	0.141098807934118	293	290	0.00257744172058232	0.056127790680309
Tyrosine_182.1	Dx	Control	-0.853971913753463	0.2782896836515	293	293	0.00269230865864897	0.056127790680309
N.Acetylputrescine_131.1	Dx	Control	-1.76808955406563	0.579736989785084	293	293	0.00292776070577053	0.0600190944682958
