feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lithocholyltaurine_482.3	Age	Age	-0.570301930982174	0.145018879902542	249	73	0.000299745302344436	0.368686721883656
cis.7.10.13.16.Docosatetraenoic.acid_331.3	Age	Age	-0.946191223871277	0.284346013818895	249	136	0.00168421104860092	0.436692612353137
N.Acetylmethionine_192.1	Gender	Male	-0.778601648695314	0.230682933340618	249	248	0.00153104921085785	0.436692612353137
Sarcosine_90.1	Gender	Male	-0.80748969436304	0.24241132642532	249	208	0.00100275150049445	0.436692612353137
Shikimate_173	Age	Age	0.798860605373319	0.244188528831808	249	249	0.00177517322094771	0.436692612353137
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine_221.1	Age	Age	-0.639971215955049	0.216724984869622	249	242	0.00466132316650787	0.466693478419573
X2.Hydroxypyridine_96	Gender	Male	-0.51961651956563	0.200724066229398	249	249	0.0137861287207363	0.466693478419573
X3.hydroxybutyric.acid_103	Gender	Male	-0.462587751742303	0.188952319748935	249	249	0.0183210580477313	0.466693478419573
X3.hydroxybutyric.acid_103	Age	Age	-0.246586436754144	0.0916584448354418	249	249	0.0097272048552129	0.466693478419573
X3.Sulfinoalanine_154	Gender	Male	-0.459713843875556	0.183178901221369	249	236	0.0165852078203157	0.466693478419573
X4.Hydroxybenzaldehyde_121	CRP_Category	Normal	0.264181468431152	0.11109009136622	249	249	0.0183727887296898	0.466693478419573
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid_305.2	Age	Age	-0.549870468634018	0.21122753898698	249	231	0.0119705684165906	0.466693478419573
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid_305.2	CRP_Category	Normal	-0.798128730700853	0.339160958471639	249	231	0.01944498043361	0.466693478419573
X5.Deoxyadenosine_252.1	CRP_Category	Normal	0.426897478699134	0.18025997313684	249	246	0.0186811991350424	0.466693478419573
X5.Hydroxymethyluracil_141	CRP_Category	Normal	0.542879781700543	0.188871282844901	249	200	0.0044261878798389	0.466693478419573
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Age	Age	-0.626214731631177	0.245589498349148	249	136	0.0142685591785938	0.466693478419573
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	CRP_Category	Normal	-0.972446937938991	0.375029607690803	249	136	0.010112186307909	0.466693478419573
aminoadipate_162.1	Age	Age	-0.241086738071437	0.0969158297497721	249	249	0.016179876692835	0.466693478419573
