feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Adenosine_268.1	Dysbiosis_Index	Dysbiosis_Index	-0.646125071431875	0.107839740619082	249	249	2.66765228761725e-08	3.28121231376921e-05
Fructose.6.phosphate_259	Dysbiosis_Index	Dysbiosis_Index	-0.990696858489661	0.171393016523789	249	242	5.50242168143977e-08	3.38398933408546e-05
AMP_348.1	Dysbiosis_Index	Dysbiosis_Index	-0.805342914886402	0.144146235580622	249	233	2.06737414579571e-07	5.45370470476813e-05
Maleate_115	Dysbiosis_Index	Dysbiosis_Index	-0.35544000473526	0.064913689718136	249	249	1.35379587606928e-07	5.45370470476813e-05
Sedoheptulose.7.phosphate_289	Dysbiosis_Index	Dysbiosis_Index	-0.900288761647093	0.165667748477402	249	222	2.21695313201957e-07	5.45370470476813e-05
Glycerate_105	Dysbiosis_Index	Dysbiosis_Index	-0.348747042949064	0.0669999082478749	249	248	4.95865165775211e-07	7.62392692379386e-05
N.Formylglycine_102	Dysbiosis_Index	Dysbiosis_Index	-0.522729205309993	0.10010360014584	249	246	4.58266608411617e-07	7.62392692379386e-05
Ribose.phosphate_229	Dysbiosis_Index	Dysbiosis_Index	-0.825374378451661	0.154722185465756	249	212	4.32468364038653e-07	7.62392692379386e-05
AMP_346.1	Dysbiosis_Index	Dysbiosis_Index	-0.721851922266023	0.135584527770871	249	234	6.07297111220394e-07	8.29972718667872e-05
N.Methylglutamate_162.1	Dysbiosis_Index	Dysbiosis_Index	-0.382839547204415	0.0769182744301008	249	249	2.35819258310913e-06	0.000290057687722423
Creatine_130.1	Dysbiosis_Index	Dysbiosis_Index	0.952875450080565	0.205670041217705	249	245	6.69048574219531e-06	0.000725275438542117
Lithocholate_375.3	Dysbiosis_Index	Dysbiosis_Index	-0.875744152699796	0.189467657526695	249	235	7.07585793699627e-06	0.000725275438542117
X10.HAD_185.1	Dysbiosis_Index	Dysbiosis_Index	-0.352234051838097	0.0754364143282198	249	248	1.08425403567428e-05	0.000952594617056693
Cytosine_112.1	Dysbiosis_Index	Dysbiosis_Index	-0.69607184836928	0.151655992101438	249	227	1.07599413967342e-05	0.000952594617056693
Adenine_136.1	Dysbiosis_Index	Dysbiosis_Index	-0.482717161473554	0.108975224318243	249	249	1.74133408556479e-05	0.00133865057827793
Dimethylglycine_104.1	Dysbiosis_Index	Dysbiosis_Index	-0.239831881330516	0.052145609771079	249	249	1.66263500571933e-05	0.00133865057827793
X4.Acetamidobutanoate_146.1	Dysbiosis_Index	Dysbiosis_Index	-0.302890865233464	0.0687816374196253	249	249	1.96770718669269e-05	0.00142369402331294
Creatine_132.1	Dysbiosis_Index	Dysbiosis_Index	0.938164265274707	0.218209041956131	249	249	2.83388790833784e-05	0.00183456954066081
N.Alpha.Acetyllysine_189.1	Dysbiosis_Index	Dysbiosis_Index	-0.435954113091344	0.101564791887229	249	249	2.80491163330767e-05	0.00183456954066081
X2.Deoxy.D.Glucose.6.phosphate_243	Dysbiosis_Index	Dysbiosis_Index	-0.656676680650365	0.152614880161574	249	182	3.77088296654788e-05	0.00220866002326376
X5.Deoxyadenosine_252.1	Dysbiosis_Index	Dysbiosis_Index	-0.442826955911168	0.104367209962908	249	246	3.68180106144643e-05	0.00220866002326376
Thiopurine.S.Methylether_167	Dysbiosis_Index	Dysbiosis_Index	-0.295518167253944	0.069651234707412	249	249	4.5927894777647e-05	0.00256778684438663
X3.Methyl.2.Oxovalerate_129.1	Dysbiosis_Index	Dysbiosis_Index	-0.310249471516034	0.0722423644768832	249	249	5.51668625049426e-05	0.00271420963524318
Diethyl.2.Methyl.3.Oxosuccinate_201.1	Dysbiosis_Index	Dysbiosis_Index	-0.318382160364836	0.0758688091994616	249	249	5.4440231618677e-05	0.00271420963524318
P.Octopamine_154.1	Dysbiosis_Index	Dysbiosis_Index	-0.213203464902048	0.0496203178766316	249	249	5.29865067379871e-05	0.00271420963524318
Glycolate_75	Dysbiosis_Index	Dysbiosis_Index	-0.255484297228958	0.0623777948181439	249	249	7.84115417680743e-05	0.00370946909133582
trans.trans.Muconic.acid_141	Dysbiosis_Index	Dysbiosis_Index	-0.218049986734765	0.050697359080221	249	249	8.3604789178515e-05	0.00380866261813235
N.Methylaspartate_148.1	Dysbiosis_Index	Dysbiosis_Index	-0.618024399303627	0.146572868464602	249	223	8.792067391878e-05	0.00386222960428926
Methyl.Vanillate_181.1	Dysbiosis_Index	Dysbiosis_Index	-0.293005052810115	0.0714081212663155	249	249	9.17480491751205e-05	0.00389138277535856
Dehydroascorbate_173	Dysbiosis_Index	Dysbiosis_Index	-0.320443445449442	0.0772907369966304	249	229	9.73487200435624e-05	0.00399129752178606
N.Acetylserotonin_219.1	Dysbiosis_Index	Dysbiosis_Index	-0.794126130927956	0.200529399793436	249	210	0.000116540122776173	0.00462401132305462
Tridecanoic.acid_213.2	Dysbiosis_Index	Dysbiosis_Index	-0.271170351636264	0.0680126736316775	249	249	0.000123045885910875	0.00472957623969927
X2.4.Dihydroxypteridine_163	Dysbiosis_Index	Dysbiosis_Index	-0.332257052574127	0.0804476912521283	249	234	0.000134298351887736	0.004992992097583
Pyridoxal_168.1	Dysbiosis_Index	Dysbiosis_Index	-0.30902122593415	0.0775930780715502	249	249	0.000139219965099589	0.004992992097583
Trimethyllysine_189.2	Dysbiosis_Index	Dysbiosis_Index	0.536410770362366	0.138081814963917	249	249	0.000142077010906833	0.004992992097583
Glucose.6.Phosphate_259	Dysbiosis_Index	Dysbiosis_Index	-0.732388162807362	0.189916956661501	249	243	0.000164387467298223	0.00555763426447364
Serine_106	Dysbiosis_Index	Dysbiosis_Index	-0.304400777597573	0.0774040031867907	249	249	0.000167180868118313	0.00555763426447364
Octanoic.acid_143.1	Dysbiosis_Index	Dysbiosis_Index	-0.309396494427	0.0795607239129579	249	249	0.000172231655392084	0.00557486674032272
Deoxyguanosine.monophosphate_348.1	Dysbiosis_Index	Dysbiosis_Index	-0.843902618173853	0.214665985781585	249	206	0.000192754988407316	0.00607919578823073
Adenosine.Diphosphate.Ribose_560.1	Dysbiosis_Index	Dysbiosis_Index	-0.614351248952493	0.156516491337021	249	134	0.000202214073744651	0.00621808276764801
Gulonolactone_177	Dysbiosis_Index	Dysbiosis_Index	-0.273327477284029	0.0718965451652536	249	249	0.000237477335069123	0.00695469338416717
Nicotinate_124	Dysbiosis_Index	Dysbiosis_Index	-0.242198098775484	0.0605371690749057	249	249	0.000236633712906457	0.00695469338416717
Azelate_187.1	Dysbiosis_Index	Dysbiosis_Index	-0.240249564489839	0.0638426041870895	249	249	0.000249942062449354	0.0071239446211146
N.Acetylmethionine_192.1	Dysbiosis_Index	Dysbiosis_Index	-0.339068805582987	0.0899320738938078	249	248	0.000254840295389465	0.0071239446211146
Nonanoic.acid_157.1	Dysbiosis_Index	Dysbiosis_Index	-0.297339968527474	0.0787808366702101	249	249	0.000280363343864942	0.00749667202073649
UMP_323	Dysbiosis_Index	Dysbiosis_Index	-0.539925173505557	0.143733255666862	249	222	0.000277420425198266	0.00749667202073649
Methyl.Jasmonate_225.1	Dysbiosis_Index	Dysbiosis_Index	-0.348349071628087	0.0962152823052686	249	234	0.000376114983935396	0.00984300915405398
X2.Hydroxyhexadecanoic.acid_271.2	Dysbiosis_Index	Dysbiosis_Index	-0.357660284672676	0.0994503516351604	249	249	0.000431037724854893	0.010819926562684
O.Acetylserine_148.1	Dysbiosis_Index	Dysbiosis_Index	-0.478326710323814	0.13179447058122	249	246	0.000424724725524397	0.010819926562684
X3.Hydroxybenzaldehyde_121	Dysbiosis_Index	Dysbiosis_Index	-0.282805585420179	0.0782269532108686	249	249	0.000472519458527802	0.0113069875110008
Butyric.acid_87	Dysbiosis_Index	Dysbiosis_Index	-0.399518176935839	0.111871085106444	249	249	0.000469303547681688	0.0113069875110008
Kynurenate_188	Dysbiosis_Index	Dysbiosis_Index	-0.424357996512402	0.118498598994614	249	241	0.000478018984204914	0.0113069875110008
X5.Aminolevulinic.acid_132.1	Dysbiosis_Index	Dysbiosis_Index	-0.343806738323859	0.0941341090546108	249	235	0.000515196232826507	0.0119564408750303
Inosine_269.1	Dysbiosis_Index	Dysbiosis_Index	-0.479878930362274	0.135170570142433	249	249	0.000537409785857993	0.0122410006778765
CMP_324.1	Dysbiosis_Index	Dysbiosis_Index	-0.58526106401518	0.164937863660918	249	203	0.000556344333945289	0.0124418823773219
Galactose.1.Phosphate_261	Dysbiosis_Index	Dysbiosis_Index	-0.819212380889938	0.233118726987882	249	185	0.000581815839197198	0.0126288592688625
Lactose_343.1	Dysbiosis_Index	Dysbiosis_Index	0.595809449522902	0.166858812888571	249	223	0.000585239819776553	0.0126288592688625
X3.Hydroxyoctanoic.acid_159.1	Dysbiosis_Index	Dysbiosis_Index	-0.220405507572476	0.0625276919510006	249	249	0.000628601513929048	0.0133306872781505
Monoethylmalonate_131	Dysbiosis_Index	Dysbiosis_Index	-0.236308782018171	0.0669066653923338	249	249	0.000700445157211422	0.0146025007350856
Oxoglutarate_145	Dysbiosis_Index	Dysbiosis_Index	-0.493518159885081	0.143098045905939	249	249	0.000732163575088161	0.0150093532893073
Glucuronolactone_175	Dysbiosis_Index	Dysbiosis_Index	-0.436846008792321	0.125323748861736	249	249	0.000744926372606634	0.0150206465296092
Methylmalonate_117	Dysbiosis_Index	Dysbiosis_Index	-0.173601871852986	0.0481656420808175	249	249	0.000762388757217749	0.0151248092157715
Cytidine_244.1	Dysbiosis_Index	Dysbiosis_Index	-0.344738501155489	0.101030992829912	249	249	0.00079682908526763	0.0155571392837966
trans.3.Hexenoic.acid_113.1	Dysbiosis_Index	Dysbiosis_Index	-0.322954051472891	0.0939442061669391	249	247	0.000870637892500425	0.0167325719964925
Lithocholyltaurine_482.3	Age	Age	-0.566470219707756	0.159773874761174	249	73	0.000894896900484114	0.016934202886084
X3.Methylglutaconate_143	Dysbiosis_Index	Dysbiosis_Index	-0.239222088820086	0.0706459564459983	249	249	0.000912558946896753	0.0170067803739849
