feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X6.Carboxyhexanoate_159.1	Disease_Status	CD_Remission	1.30900753126082	0.219895759252965	249	249	1.00021560330183e-08	1.23026519206125e-05
Pyridoxine_170.1	Disease_Status	CD_Remission	1.43855835133993	0.250902455124931	249	249	3.14474772096891e-08	1.93401984839588e-05
Didecanoyl.Glycerophosphocholine_566.4	Disease_Status	CD_Remission	1.27264803127991	0.280571462023043	249	229	9.34445752483517e-06	0.00383122758518242
N.Acetylglycine_116	Disease_Status	CD_Remission	0.715634989935329	0.166306858691872	249	249	2.51812382801797e-05	0.00774323077115526
X3.Methyladenine_150.1	Disease_Status	CD_Remission	0.793845960365483	0.19703289442185	249	249	7.68251973665819e-05	0.0104994436400995
X4.Aminobenzoate_136	Disease_Status	CD_Remission	0.945040588290657	0.232838041063611	249	249	6.82850513391613e-05	0.0104994436400995
cis.5.Dodecenoic.acid_197.2	Disease_Status	CD_Remission	1.48050185322008	0.357054933505544	249	234	4.76309274353867e-05	0.0104994436400995
Heptanoic.acid_129.1	Disease_Status	CD_Remission	0.907070849704089	0.223589767924579	249	249	6.841755203451e-05	0.0104994436400995
trans.3.Hexenoic.acid_113.1	Disease_Status	CD_Remission	0.958814597023561	0.235768551307296	249	247	6.6324006948024e-05	0.0104994436400995
Acetylcysteine_164	Disease_Status	CD_Remission	1.5157429444195	0.384168630033026	249	215	0.000105627376797982	0.0129921673461518
X3..4.Hydroxyphenyl.Pyruvate_179	Disease_Status	CD_Remission	0.841029282106528	0.219725636401649	249	249	0.000166834026853161	0.0143738602780229
X4.Hydroxybenzaldehyde_121	Disease_Status	CD_Remission	0.550697079559822	0.143369858588647	249	249	0.000159163057933548	0.0143738602780229
Decanoic.acid_171.1	Disease_Status	CD_Remission	0.759570199768422	0.196053516043167	249	249	0.000140083257370157	0.0143738602780229
Myristoleic.acid_225.2	Disease_Status	CD_Remission	0.865724740898872	0.226914967450383	249	231	0.000175290979000279	0.0143738602780229
Sorbate_111	Disease_Status	CD_Remission	1.22420667197764	0.317697581487153	249	237	0.000151681086779506	0.0143738602780229
Lithocholyltaurine_482.3	Age	Age	-0.569684668737583	0.141835963892034	249	73	0.000231743117010381	0.0175895026742303
Tyrosine_182.1	Disease_Status	CD_Remission	-1.03277029913864	0.276978037015578	249	249	0.000243106947530012	0.0175895026742303
Sarcosine_90.1	Gender	Male	-0.881395721245619	0.241192483403617	249	208	0.000316193226051959	0.0216065371135505
Cysteate_170	Disease_Status	CD_Remission	-1.41031812011077	0.387132894168728	249	112	0.000333835035647163	0.0216114259918953
Gulonolactone_177	Disease_Status	CD_Remission	0.622638993485167	0.172097412339055	249	249	0.000367126723726908	0.0225782935092048
Suberate_173.1	Disease_Status	CD_Remission	0.607154761403509	0.169683576042934	249	248	0.000423894177862984	0.0238051436935023
Threitol_121.1	Disease_Status	CD_Remission	0.852122954532712	0.238210918171896	249	230	0.000425783057932562	0.0238051436935023
X3.Hydroxybenzyl.Alcohol_123	Disease_Status	CD_Remission	0.649492922554812	0.184726768341791	249	249	0.000528898191567932	0.0282845554621112
X3.4.Dihydroxyphenylglycol_169.1	Disease_Status	CD_Remission	0.690945151340873	0.198235274535866	249	241	0.000590006790106217	0.0285002316257838
cis.7.10.13.16.Docosatetraenoic.acid_331.3	Disease_Status	CD_Remission	-2.12542062025327	0.610836072385535	249	136	0.000602443920545024	0.0285002316257838
Dimethylglycine_104.1	Disease_Status	CD_Remission	0.480816112236312	0.138148654653935	249	249	0.000599865682115665	0.0285002316257838
Glucuronolactone_175	Disease_Status	CD_Remission	1.0908130449295	0.317228465602633	249	249	0.000696927011998541	0.0306150080270788
Nonanoic.acid_157.1	Disease_Status	CD_Remission	0.686693617638645	0.199683917444873	249	249	0.000696122886016101	0.0306150080270788
N.Methylaspartate_148.1	Disease_Status	CD_Remission	1.29160842393219	0.376885501489447	249	223	0.000727417620798537	0.0308525404683517
Choline_104.1	Disease_Status	CD_Remission	-2.9183750627142	0.858441978987685	249	218	0.00078909956170013	0.0323530820297053
Dethiobiotin_215.1	Disease_Status	CD_Remission	-1.30383155066072	0.384887611946147	249	142	0.00083121190539881	0.0329803433432431
Arachidonic.acid_303.2	Disease_Status	CD_Remission	-1.08271507384533	0.322055949938684	249	226	0.000909557337264452	0.0349611101511024
X3.Dehydroshikimate_171	Disease_Status	CD_Remission	0.83230654849513	0.251571088712881	249	248	0.00109088721469611	0.0369069525867884
