feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
cis.7.10.13.16.Docosatetraenoic.acid_331.3	FCP_Category	Normal	-2.30406865405241	0.395772255524082	249	136	1.90170107274277e-08	2.33909231947361e-05
Nervonic.acid_365.3	FCP_Category	Normal	-1.80756079511826	0.344356259793484	249	216	3.40533067469786e-07	0.000209427836493919
Arachidonic.acid_303.2	FCP_Category	Normal	-1.00166103866051	0.216249432244865	249	226	6.00224988628928e-06	0.0024609224533786
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	FCP_Category	Normal	-1.46879516708213	0.32561309955693	249	136	1.01854157855168e-05	0.00313201535404641
Pyridoxine_170.1	FCP_Category	Normal	0.749923706263449	0.175177689394407	249	249	2.769640841249e-05	0.00681331646947255
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid_305.2	FCP_Category	Normal	-1.21399654475827	0.295753728882841	249	231	5.58056694516058e-05	0.0114401622375792
N.Acetylglycine_116	FCP_Category	Normal	0.434060592612306	0.109310094024309	249	249	9.52311051720697e-05	0.0167334656230922
Tyrosine_182.1	FCP_Category	Normal	-0.713928218479436	0.183499688105738	249	249	0.000130105515370796	0.0200037229882599
X6.Carboxyhexanoate_159.1	FCP_Category	Normal	0.591187008696258	0.154287671016811	249	249	0.000163208502467088	0.0223051620038353
Glucosaminate_196.1	FCP_Category	Normal	0.787538367342566	0.208281585308014	249	205	0.000202831374499554	0.0249482590634451
Cytidine_244.1	FCP_Category	Normal	0.553548744500774	0.150660878500687	249	249	0.000295584294833176	0.0302973902204005
Methylarginine_189.1	FCP_Category	Normal	-0.999823617456338	0.270932819586076	249	209	0.00028135285815945	0.0302973902204005
Methylmalonate_117	FCP_Category	Normal	0.32478930816065	0.0924563462648561	249	249	0.000558786544803355	0.0528698038544713
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine_221.1	Age	Age	-0.75068652008763	0.210031159010215	249	242	0.000767050696247476	0.0601937241802619
Dopamine_154.1	FCP_Category	Normal	0.424522850191358	0.124745739936022	249	249	0.000783007794214789	0.0601937241802619
Sarcosine_90.1	Gender	Male	-0.82990051687268	0.243735112626252	249	208	0.000777618958896338	0.0601937241802619
Ornithine_133.1	FCP_Category	Normal	-0.641742188229851	0.197305676534275	249	249	0.00131109371550829	0.0948614864750115
cis.11.Eicosenoic.acid_309.3	FCP_Category	Normal	-0.479375613827416	0.149803652763516	249	249	0.00156463476655992	0.106916709048261
N.Acetylleucine_172.1	FCP_Category	Normal	-0.516712018096339	0.163299762730862	249	246	0.00176091937967763	0.113996359842289
Cystine_241	FCP_Category	Normal	-1.20418847593322	0.390994414594496	249	169	0.00231686896873582	0.125069209543429
N.Acetylmethionine_192.1	Gender	Male	-0.753579747487741	0.229367925923415	249	248	0.00203578114716851	0.125069209543429
N.Acetylneuraminate_310.1	Age	Age	-0.467394361393619	0.145771479188947	249	249	0.00230167421484972	0.125069209543429
Phenylalanine_166.1	FCP_Category	Normal	-0.656226088068552	0.213235158656612	249	249	0.00233869253617794	0.125069209543429
Didecanoyl.Glycerophosphocholine_566.4	FCP_Category	Normal	0.604049011602099	0.198759934509032	249	229	0.00268457956101287	0.127001263847917
Lithocholyltaurine_482.3	Age	Age	-0.462393614547252	0.144239183394849	249	73	0.00255877234263092	0.127001263847917
Sorbate_111	FCP_Category	Normal	0.654728749454589	0.215557000159306	249	237	0.00265525325586133	0.127001263847917
N.Carbamoyl.L.aspartate_177.1	FCP_Category	Normal	0.969765839552225	0.323117428560077	249	79	0.00300793925675292	0.137028343918744
Glycolate_75	FCP_Category	Normal	0.310370307139685	0.104557355787739	249	249	0.00330177652822579	0.145042326061347
Docosahexaenoic.acid_327.2	FCP_Category	Normal	-1.04590140254198	0.356738572525655	249	123	0.00370090303489621	0.156969335618011
X2.4.Dihydroxypteridine_163	FCP_Category	Normal	0.464303772016985	0.159629346626107	249	234	0.0039884591722253	0.163526826061237
X3..4.Hydroxyphenyl.Pyruvate_179	FCP_Category	Normal	0.403028380866712	0.140528056023081	249	249	0.00451615512301198	0.163582065291771
Leucine_132.1	FCP_Category	Normal	-0.559494417280101	0.194056453077723	249	249	0.0043008574810844	0.163582065291771
P.Octopamine_154.1	FCP_Category	Normal	0.266889811498358	0.093007720794354	249	249	0.00452178066660181	0.163582065291771
Shikimate_173	Age	Age	0.746601750154847	0.252133666368899	249	249	0.00443170982993992	0.163582065291771
Mannitol_181.1	FCP_Category	Normal	-0.483820562653812	0.170429179046183	249	249	0.00492244682485907	0.172988845559333
X4.Hydroxybenzaldehyde_121	FCP_Category	Normal	0.273086724697486	0.0969796265699416	249	249	0.00531209444282761	0.181496560129943
Glucosamine.6.Phosphate_260.1	FCP_Category	Normal	-1.10647972130666	0.396154228100313	249	170	0.00565350099328684	0.187940708695752
Methylmalonate_117	Gender	Male	-0.267746672908159	0.0903233524975835	249	249	0.00585032293779504	0.189365716144418
Dodecanoic.acid_199.2	Gender	Male	-0.546361923203679	0.190060008741468	249	249	0.00628424063082194	0.198195281433615
X6.Hydroxynicotinate_138	FCP_Category	Normal	0.273974014868604	0.100718328023731	249	249	0.00700972342994582	0.200065355179033
Dethiobiotin_215.1	FCP_Category	Normal	-0.720570638758989	0.263095738447367	249	142	0.00663975213682385	0.200065355179033
Dimethylarginine_203.2	Gender	Male	1.05428308292083	0.371944813328327	249	248	0.00673132528493045	0.200065355179033
Epinephrine_184.1	Gender	Male	-0.558034937100766	0.19884994067813	249	229	0.00764477373448338	0.200065355179033
Histamine_112.1	Age	Age	0.563898928040274	0.200239593191644	249	249	0.00697156071442964	0.200065355179033
Inosine_269.1	FCP_Category	Normal	-0.597999935490327	0.221682196277426	249	249	0.0074911363042152	0.200065355179033
Maleimide_98	FCP_Category	Normal	0.360917670283722	0.133286802873479	249	241	0.00728086458303886	0.200065355179033
Orotate_155	Gender	Male	0.749701349360923	0.2670850632211	249	245	0.00757535193896689	0.200065355179033
cis.10.Nonadecenoic.acid_295.3	FCP_Category	Normal	-0.515738934279773	0.193198691470371	249	239	0.00817446067004509	0.209470554669905
Mesaconic.acid_129	Age	Age	0.203392381007615	0.0745900372866333	249	249	0.00867610252649682	0.213432122151822
Pentanoate_101.1	FCP_Category	Normal	-0.430154119374571	0.16226026834585	249	249	0.00857933368723259	0.213432122151822
Caffeate_179	FCP_Category	Normal	0.24415847264082	0.0926473441779892	249	249	0.00906899537036709	0.217256951214205
Methyl.Galactoside_193.1	FCP_Category	Normal	0.230775331327292	0.0880600626937237	249	249	0.00936147838565276	0.217256951214205
Sphinganine_302.3	FCP_Category	Normal	-0.586601669823361	0.223686548979256	249	248	0.00929983966790395	0.217256951214205
Cinnamate_147	FCP_Category	Normal	-0.586131379174354	0.225519453601266	249	97	0.0100025112348006	0.219698014621512
methyl.lysine_161.1	FCP_Category	Normal	-0.602583978894696	0.231091592802318	249	243	0.00970086823676327	0.219698014621512
Phosphoserine_186	Age	Age	-0.678520923548769	0.253060572755712	249	123	0.00997693641426955	0.219698014621512
X3.Hydroxybenzyl.Alcohol_123	FCP_Category	Normal	0.305181584865917	0.120507927057172	249	249	0.0119761601406156	0.231431349106438
Decanoic.acid_171.1	FCP_Category	Normal	0.339679600108559	0.132862716578271	249	249	0.0112076644818499	0.231431349106438
Heptanoic.acid_129.1	FCP_Category	Normal	0.382395016293966	0.150136983131036	249	249	0.0115147374009597	0.231431349106438
Indole.3.Methyl.Acetate_190.1	Age	Age	0.554628460605003	0.211150205794458	249	240	0.0114354590029949	0.231431349106438
Methyl.4.Aminobutyrate_118.1	Gender	Male	-0.363117237218859	0.1386270737935	249	249	0.0120419563762699	0.231431349106438
Nonanoic.acid_157.1	FCP_Category	Normal	0.335478701409633	0.13222081236545	249	249	0.0118177132810171	0.231431349106438
P.Octopamine_154.1	Gender	Male	-0.272533142860712	0.10169465381436	249	249	0.0108086899913341	0.231431349106438
Thymine_125	Gender	Male	0.553104849700953	0.218522254630488	249	245	0.0120209417441685	0.231431349106438
X2.Hydroxypyridine_96	Gender	Male	-0.448450642702249	0.17147364997463	249	249	0.0124407374766136	0.232834002277952
X3.hydroxybutyric.acid_103	Gender	Male	-0.480060135303414	0.184475148367486	249	249	0.0126625005174297	0.232834002277952
Crotonic.acid_85	FCP_Category	Normal	0.351677776420554	0.141382468248674	249	249	0.0135594952586325	0.232834002277952
Cysteine_122	FCP_Category	Normal	0.23358512480953	0.0939133493493892	249	249	0.0136293074504167	0.232834002277952
Galactosamine_180.1	FCP_Category	Normal	-0.387173867786362	0.154933173000038	249	249	0.0131370006390165	0.232834002277952
Quinolinate_166	Gender	Male	-0.599198545182757	0.232691659697897	249	249	0.0133507733041139	0.232834002277952
trans.3.Hexenoic.acid_113.1	FCP_Category	Normal	0.396899002724665	0.158471225706016	249	247	0.012936512245583	0.232834002277952
Xanthine_153	FCP_Category	Normal	-0.660056518956482	0.264768964919071	249	229	0.0133916964746485	0.232834002277952
N.Acetylphenylalanine_206.1	FCP_Category	Normal	-0.707160505109576	0.285452931570255	249	197	0.0139439835092989	0.234946571458051
X2.hydroxyglutarate_147	Age	Age	0.216869060190303	0.0866323558361844	249	249	0.0154064379408201	0.239872388192515
X3.Methylglutaconate_143	FCP_Category	Normal	0.284301958883075	0.116204417831734	249	249	0.0151623131938318	0.239872388192515
cis.7.10.13.16.Docosatetraenoic.acid_331.3	Age	Age	-0.68151459672255	0.268575231649425	249	136	0.0144763697690991	0.239872388192515
Mesoxalate_117	Age	Age	-0.299681478390953	0.117961018716044	249	163	0.0149036147989519	0.239872388192515
Pyridoxal_168.1	Gender	Male	-0.548875939021279	0.215096440424187	249	249	0.0149892363697898	0.239872388192515
Xanthine_151	FCP_Category	Normal	-0.574608769868821	0.235331436010109	249	249	0.0153669273277717	0.239872388192515
X4.Pyridoxate_184.1	FCP_Category	Normal	0.370163230681199	0.153382617169886	249	249	0.0165915959165042	0.242050862211973
Erucic.acid_337.3	FCP_Category	Normal	-0.969275523221003	0.40191767319786	249	190	0.0166618157161506	0.242050862211973
Glutarylcarnitine_276.1	FCP_Category	Normal	0.811604925375461	0.336782101355547	249	160	0.0167270921040794	0.242050862211973
Glycochenodeoxycholate_448.3	Gender	Male	1.00776121048038	0.40553314991762	249	100	0.0165796953351602	0.242050862211973
Kynurenine_209.1	Gender	Male	-0.377866684497159	0.148616028699946	249	243	0.0160854234567956	0.242050862211973
trans.trans.Muconic.acid_141	FCP_Category	Normal	0.234007764749485	0.0968058399532211	249	249	0.0164589978486071	0.242050862211973
Isoleucine_132.1	FCP_Category	Normal	-0.479057363984557	0.19952241627353	249	249	0.0171281388903405	0.244649431658449
Paraxanthine_181.1	Age	Age	0.484691368861886	0.197010801766041	249	144	0.0175779451282598	0.244649431658449
Succinyladenosine_384.1	Age	Age	0.467265581053874	0.189611781329573	249	89	0.0177405481104028	0.244649431658449
Uridine_243.1	FCP_Category	Normal	-0.430128128877091	0.180145115230607	249	249	0.0177437451350974	0.244649431658449
Urocanate_139.1	FCP_Category	Normal	-0.552221303951978	0.231591115727173	249	249	0.017901177926228	0.244649431658449
X3.Methoxy.4.Hydroxymandelate_197	FCP_Category	Normal	0.319939297231451	0.134868356538461	249	248	0.0184871043259532	0.24682897652019
Bis.2.Ethylhexyl.Phthalate_391.3	Gender	Male	1.08109439221191	0.447244115245305	249	249	0.0200698206525328	0.24682897652019
Cholate_407.3	Gender	Male	1.52667997142323	0.634183813666136	249	243	0.0206694183590078	0.24682897652019
Dehydroascorbate_173	Gender	Male	-0.475633992394063	0.194900291608146	249	229	0.0190539340613521	0.24682897652019
Deoxycholate_391.3	Gender	Male	1.07033347643136	0.442668032915054	249	249	0.0200728135333783	0.24682897652019
L.Dopa_198.1	FCP_Category	Normal	0.291090073622214	0.124589719206721	249	245	0.0203140033269632	0.24682897652019
Maleamate_114	FCP_Category	Normal	0.267713908870967	0.114791291900903	249	248	0.020556161767998	0.24682897652019
Methyl.4.Aminobutyrate_118.1	FCP_Category	Normal	0.266148941778419	0.113166993563563	249	249	0.0195271021297933	0.24682897652019
N.Acetylalanine_130.1	Gender	Male	0.353204363344076	0.144459331650894	249	249	0.0187431605958117	0.24682897652019
N.Acetylglucosamine_222.1	Age	Age	-0.319839145615385	0.133623463802975	249	249	0.0201253370510224	0.24682897652019
Octanoic.acid_143.1	FCP_Category	Normal	0.319025817295453	0.135861752561647	249	249	0.0196936092469167	0.24682897652019
Salsolinol_180.1	FCP_Category	Normal	0.398688589805526	0.168498765436679	249	248	0.0188006466161769	0.24682897652019
Valine_118.1	FCP_Category	Normal	-0.390268539651601	0.165997181090081	249	249	0.0195465145028524	0.24682897652019
Glucuronolactone_175	FCP_Category	Normal	0.500186201322845	0.216157871443649	249	249	0.0215288421435448	0.254619959966924
Indoxyl.Glucoside_294.1	FCP_Category	Normal	0.466100911601978	0.202111687906385	249	232	0.0219797871983513	0.257477507180686
aminoadipate_162.1	Age	Age	-0.24121522084317	0.102485893799877	249	249	0.0228753758356363	0.265440681866346
Tryptamine_161.1	FCP_Category	Normal	0.545574435258816	0.238562962438345	249	98	0.0231503453240652	0.266120792042993
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine_221.1	Gender	Male	0.967778565069664	0.418444562213845	249	242	0.0250186867380296	0.269938462173478
Beta.Alanine_90.1	FCP_Category	Normal	-0.365137517253293	0.161551274925373	249	249	0.0247219186308498	0.269938462173478
cis.10.Nonadecenoic.acid_295.3	Gender	Male	-0.499022841503086	0.213288239685573	249	239	0.0246550606634506	0.269938462173478
cis.5.Dodecenoic.acid_197.2	FCP_Category	Normal	0.556523834462475	0.246157923824494	249	234	0.0246807038669454	0.269938462173478
Hypotaurine_110	Gender	Male	-0.582608816142295	0.248105544314793	249	249	0.0244740249557593	0.269938462173478
Propionyl.carnitine_218.1	Gender	Male	-0.501285782109131	0.212960713162753	249	249	0.0249818204383668	0.269938462173478
trans.trans.Muconic.acid_141	Gender	Male	-0.255586274676392	0.108867070429759	249	249	0.024393289467271	0.269938462173478
X3.Sulfinoalanine_154	Gender	Male	-0.36416875792433	0.157277566556925	249	236	0.0253426600543983	0.271056277103565
Dimethylglycine_104.1	FCP_Category	Normal	0.218548703726769	0.0972511218721972	249	249	0.0255879491790555	0.271320495605502
N.Methylaspartate_148.1	FCP_Category	Normal	0.573338645746426	0.255600854362089	249	223	0.0258239585657567	0.271482641332314
X9.Decenoic.acid_169.1	FCP_Category	Normal	0.342830609669043	0.15432128401632	249	247	0.0272776220276325	0.277284918132132
Citrate_191	Age	Age	0.296055070372536	0.128668591396589	249	249	0.0268894377836007	0.277284918132132
Homoserine_120.1	Age	Age	-0.149819727861397	0.0654797675414891	249	249	0.027105223474302	0.277284918132132
N.Acetylputrescine_131.1	Gender	Male	1.38140285126844	0.606203875605409	249	249	0.0271123867394431	0.277284918132132
Kynurenate_188	Gender	Male	-0.647160688831459	0.286445027001648	249	241	0.0278648543386229	0.278648543386229
Salsolinol_180.1	Gender	Male	-0.483000028501272	0.212037610154674	249	248	0.027808749204754	0.278648543386229
X3.hydroxybutyric.acid_103	Age	Age	-0.20914607000278	0.0923342974847129	249	249	0.0281902712238907	0.279031833111803
Picolinate_123	Age	Age	-0.217781872433891	0.0952077991474969	249	143	0.0283568936089231	0.279031833111803
Oleic.acid_281.2	Gender	Male	-0.613652057830628	0.273025293538222	249	249	0.0289603686392265	0.282708360525783
N.Acetylalanine_130.1	FCP_Category	Normal	-0.231749649272305	0.106040326982682	249	249	0.0298410426681865	0.289011673085586
Dihydrouracil_115.1	Age	Age	-0.461711289392076	0.207263016412696	249	100	0.0306200625397329	0.294239663467745
Glycolate_75	Gender	Male	-0.33800092763161	0.150850220321141	249	249	0.0310399456243471	0.295962272232146
X3.Sulfinoalanine_154	Age	Age	-0.176282546828617	0.0795221200516996	249	236	0.031790046390511	0.298486695117011
Methylarginine_189.1	Gender	Male	0.713484351558682	0.318919675243496	249	209	0.0315703766780521	0.298486695117011
Itaconate_129	FCP_Category	Normal	0.182916635117542	0.0851275776326017	249	249	0.0327592376592969	0.30377083446699
Trimethyllysine_189.2	Gender	Male	0.884834758206968	0.401467676049587	249	249	0.0328467650277314	0.30377083446699
Indole.3.Pyruvate_204.1	Age	Age	0.208451463890885	0.0946732862091813	249	249	0.0333808131188776	0.304136297305329
Salicylate_137	Gender	Male	-0.400742120723661	0.18254239370949	249	249	0.03336417680817	0.304136297305329
Diethanolamine_106.1	FCP_Category	Normal	0.300275319573291	0.141161839357174	249	246	0.0344559072812594	0.309348656612767
Xylitol_151.1	Gender	Male	-0.323508946265434	0.147855970141408	249	249	0.0342662634737759	0.309348656612767
X4.Hydroxybenzaldehyde_121	Gender	Male	-0.238583160870093	0.109005895795323	249	249	0.0354014981477315	0.313254592944557
Lactose_343.1	FCP_Category	Normal	0.620944415463962	0.29379244425481	249	223	0.0356549943188927	0.313254592944557
Suberate_173.1	FCP_Category	Normal	0.236659292902535	0.111974215550455	249	248	0.0356288914205502	0.313254592944557
Guaiacol_123	Gender	Male	-0.277836445011796	0.125629224035212	249	246	0.0367619846963384	0.317788012484507
Guanine_152.1	Gender	Male	0.411560075228132	0.190401574180783	249	249	0.0369460860042964	0.317788012484507
Hypoxanthine_137	FCP_Category	Normal	-0.407038110275418	0.193675786739511	249	249	0.0366461722230538	0.317788012484507
X10.Hydroxydecanoic.acid_187.1	FCP_Category	Normal	0.33064917062463	0.158686058827485	249	244	0.0382679342125684	0.323138047819938
X2.Phosphoglycerate_185	Age	Age	-0.349088282783024	0.163975527797863	249	171	0.0385455293243677	0.323138047819938
X3.Hydroxyoctanoic.acid_159.1	Gender	Male	-0.314124594137919	0.148415942048442	249	249	0.0401952205824801	0.323138047819938
X4.Acetamidobutanoate_146.1	Age	Age	-0.191836967715994	0.0909050165883995	249	249	0.0392952829116554	0.323138047819938
ADP_428	FCP_Category	Normal	-0.657732868938257	0.317121579071353	249	81	0.0392262499322005	0.323138047819938
Decanoic.acid_171.1	Gender	Male	-0.355978984178287	0.168261355130903	249	249	0.0400095287624046	0.323138047819938
Guaiacol_123	FCP_Category	Normal	0.248839687462354	0.120043081261114	249	246	0.039526638340179	0.323138047819938
N.Formylglycine_102	Gender	Male	-0.553350868543176	0.25880591425026	249	246	0.0391563733956195	0.323138047819938
Trigonelline_138.1	Gender	Male	0.868081352610762	0.406464489988502	249	249	0.0379660545301666	0.323138047819938
Xanthurenate_206	Gender	Male	-0.858193076706711	0.404828023324959	249	238	0.0398130180507005	0.323138047819938
X3.4.Dihydroxyphenylglycol_169.1	FCP_Category	Normal	0.268474799545385	0.131564259499419	249	241	0.042404545253099	0.32396019044293
Cystine_241	Gender	Male	1.17797623124743	0.559107181080041	249	169	0.0414161761695298	0.32396019044293
Fructose_179.1	Gender	Male	0.591158551030682	0.281778862101758	249	249	0.0411787270790355	0.32396019044293
methyl.lysine_161.1	Gender	Male	0.690048332209205	0.328958399248794	249	243	0.0417806101109387	0.32396019044293
N.Acetylneuraminate_310.1	FCP_Category	Normal	-0.410633567042698	0.199438591394413	249	249	0.0405969546141179	0.32396019044293
N.Acetyltryptophan_247.1	Gender	Male	0.41907517720893	0.199158899208577	249	246	0.0420078036470823	0.32396019044293
Nicotinamide_123.1	Age	Age	-0.516741796020936	0.247101072357054	249	245	0.0422775089243234	0.32396019044293
Xanthosine_285.1	Age	Age	0.527309473122063	0.250760430461467	249	174	0.0412775924311614	0.32396019044293
Guanine_152.1	Age	Age	0.200436016452726	0.0961593529803419	249	249	0.0435823686576655	0.327083735766922
Picolinate_122	Gender	Male	-0.219391956732567	0.105715766367261	249	249	0.043611164768923	0.327083735766922
Trans.4.Hydroxy.L.Proline_132.1	Gender	Male	0.248594688882475	0.118104638635326	249	248	0.0430804623688089	0.327083735766922
X2.Aminophenol_108	FCP_Category	Normal	0.439897315901048	0.217669457417846	249	179	0.0444151228170185	0.331094551908683
Arachidonic.acid_303.2	Age	Age	-0.304758337622828	0.147489384906163	249	226	0.0450141422101879	0.331541286937312
Mesoxalate_117	FCP_Category	Normal	0.416340044087675	0.206266814829764	249	163	0.044754511426626	0.331541286937312
Phenylpyruvate_163	Gender	Male	-0.361467310738929	0.175629565702528	249	249	0.0456055338637136	0.333897658645046
Allothreonine_120.1	FCP_Category	Normal	0.386321601624677	0.192711569223747	249	227	0.0461416145513999	0.334622388419428
Dodecanoic.acid_199.2	FCP_Category	Normal	0.333794862057499	0.16674709737357	249	249	0.0465206735119693	0.334622388419428
Oxoadipate_159	FCP_Category	Normal	0.257055331508097	0.128394617538802	249	249	0.0464249961639313	0.334622388419428
