feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
cis.7.10.13.16.Docosatetraenoic.acid_331.3	FCP_Category	Normal	-2.30406865405241	0.395772255524082	249	136	1.90170107274277e-08	2.33909231947361e-05
Nervonic.acid_365.3	FCP_Category	Normal	-1.80756079511826	0.344356259793484	249	216	3.40533067469786e-07	0.000209427836493919
Arachidonic.acid_303.2	FCP_Category	Normal	-1.00166103866051	0.216249432244865	249	226	6.00224988628928e-06	0.0024609224533786
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	FCP_Category	Normal	-1.46879516708213	0.32561309955693	249	136	1.01854157855168e-05	0.00313201535404641
Pyridoxine_170.1	FCP_Category	Normal	0.749923706263449	0.175177689394407	249	249	2.769640841249e-05	0.00681331646947255
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid_305.2	FCP_Category	Normal	-1.21399654475827	0.295753728882841	249	231	5.58056694516058e-05	0.0114401622375792
N.Acetylglycine_116	FCP_Category	Normal	0.434060592612306	0.109310094024309	249	249	9.52311051720697e-05	0.0167334656230922
Tyrosine_182.1	FCP_Category	Normal	-0.713928218479436	0.183499688105738	249	249	0.000130105515370796	0.0200037229882599
X6.Carboxyhexanoate_159.1	FCP_Category	Normal	0.591187008696258	0.154287671016811	249	249	0.000163208502467088	0.0223051620038353
Glucosaminate_196.1	FCP_Category	Normal	0.787538367342566	0.208281585308014	249	205	0.000202831374499554	0.0249482590634451
Cytidine_244.1	FCP_Category	Normal	0.553548744500774	0.150660878500687	249	249	0.000295584294833176	0.0302973902204005
Methylarginine_189.1	FCP_Category	Normal	-0.999823617456338	0.270932819586076	249	209	0.00028135285815945	0.0302973902204005
Methylmalonate_117	FCP_Category	Normal	0.32478930816065	0.0924563462648561	249	249	0.000558786544803355	0.0528698038544713
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine_221.1	Age	Age	-0.75068652008763	0.210031159010215	249	242	0.000767050696247476	0.0601937241802619
Dopamine_154.1	FCP_Category	Normal	0.424522850191358	0.124745739936022	249	249	0.000783007794214789	0.0601937241802619
Sarcosine_90.1	Gender	Male	-0.82990051687268	0.243735112626252	249	208	0.000777618958896338	0.0601937241802619
Ornithine_133.1	FCP_Category	Normal	-0.641742188229851	0.197305676534275	249	249	0.00131109371550829	0.0948614864750115
cis.11.Eicosenoic.acid_309.3	FCP_Category	Normal	-0.479375613827416	0.149803652763516	249	249	0.00156463476655992	0.106916709048261
N.Acetylleucine_172.1	FCP_Category	Normal	-0.516712018096339	0.163299762730862	249	246	0.00176091937967763	0.113996359842289
Cystine_241	FCP_Category	Normal	-1.20418847593322	0.390994414594496	249	169	0.00231686896873582	0.125069209543429
N.Acetylmethionine_192.1	Gender	Male	-0.753579747487741	0.229367925923415	249	248	0.00203578114716851	0.125069209543429
N.Acetylneuraminate_310.1	Age	Age	-0.467394361393619	0.145771479188947	249	249	0.00230167421484972	0.125069209543429
Phenylalanine_166.1	FCP_Category	Normal	-0.656226088068552	0.213235158656612	249	249	0.00233869253617794	0.125069209543429
Didecanoyl.Glycerophosphocholine_566.4	FCP_Category	Normal	0.604049011602099	0.198759934509032	249	229	0.00268457956101287	0.127001263847917
Lithocholyltaurine_482.3	Age	Age	-0.462393614547252	0.144239183394849	249	73	0.00255877234263092	0.127001263847917
Sorbate_111	FCP_Category	Normal	0.654728749454589	0.215557000159306	249	237	0.00265525325586133	0.127001263847917
N.Carbamoyl.L.aspartate_177.1	FCP_Category	Normal	0.969765839552225	0.323117428560077	249	79	0.00300793925675292	0.137028343918744
Glycolate_75	FCP_Category	Normal	0.310370307139685	0.104557355787739	249	249	0.00330177652822579	0.145042326061347
Docosahexaenoic.acid_327.2	FCP_Category	Normal	-1.04590140254198	0.356738572525655	249	123	0.00370090303489621	0.156969335618011
X2.4.Dihydroxypteridine_163	FCP_Category	Normal	0.464303772016985	0.159629346626107	249	234	0.0039884591722253	0.163526826061237
X3..4.Hydroxyphenyl.Pyruvate_179	FCP_Category	Normal	0.403028380866712	0.140528056023081	249	249	0.00451615512301198	0.163582065291771
Leucine_132.1	FCP_Category	Normal	-0.559494417280101	0.194056453077723	249	249	0.0043008574810844	0.163582065291771
P.Octopamine_154.1	FCP_Category	Normal	0.266889811498358	0.093007720794354	249	249	0.00452178066660181	0.163582065291771
Shikimate_173	Age	Age	0.746601750154847	0.252133666368899	249	249	0.00443170982993992	0.163582065291771
Mannitol_181.1	FCP_Category	Normal	-0.483820562653812	0.170429179046183	249	249	0.00492244682485907	0.172988845559333
X4.Hydroxybenzaldehyde_121	FCP_Category	Normal	0.273086724697486	0.0969796265699416	249	249	0.00531209444282761	0.181496560129943
Glucosamine.6.Phosphate_260.1	FCP_Category	Normal	-1.10647972130666	0.396154228100313	249	170	0.00565350099328684	0.187940708695752
Methylmalonate_117	Gender	Male	-0.267746672908159	0.0903233524975835	249	249	0.00585032293779504	0.189365716144418
Dodecanoic.acid_199.2	Gender	Male	-0.546361923203679	0.190060008741468	249	249	0.00628424063082194	0.198195281433615
X6.Hydroxynicotinate_138	FCP_Category	Normal	0.273974014868604	0.100718328023731	249	249	0.00700972342994582	0.200065355179033
Dethiobiotin_215.1	FCP_Category	Normal	-0.720570638758989	0.263095738447367	249	142	0.00663975213682385	0.200065355179033
Dimethylarginine_203.2	Gender	Male	1.05428308292083	0.371944813328327	249	248	0.00673132528493045	0.200065355179033
Epinephrine_184.1	Gender	Male	-0.558034937100766	0.19884994067813	249	229	0.00764477373448338	0.200065355179033
Histamine_112.1	Age	Age	0.563898928040274	0.200239593191644	249	249	0.00697156071442964	0.200065355179033
Inosine_269.1	FCP_Category	Normal	-0.597999935490327	0.221682196277426	249	249	0.0074911363042152	0.200065355179033
Maleimide_98	FCP_Category	Normal	0.360917670283722	0.133286802873479	249	241	0.00728086458303886	0.200065355179033
Orotate_155	Gender	Male	0.749701349360923	0.2670850632211	249	245	0.00757535193896689	0.200065355179033
cis.10.Nonadecenoic.acid_295.3	FCP_Category	Normal	-0.515738934279773	0.193198691470371	249	239	0.00817446067004509	0.209470554669905
Mesaconic.acid_129	Age	Age	0.203392381007615	0.0745900372866333	249	249	0.00867610252649682	0.213432122151822
Pentanoate_101.1	FCP_Category	Normal	-0.430154119374571	0.16226026834585	249	249	0.00857933368723259	0.213432122151822
Caffeate_179	FCP_Category	Normal	0.24415847264082	0.0926473441779892	249	249	0.00906899537036709	0.217256951214205
Methyl.Galactoside_193.1	FCP_Category	Normal	0.230775331327292	0.0880600626937237	249	249	0.00936147838565276	0.217256951214205
Sphinganine_302.3	FCP_Category	Normal	-0.586601669823361	0.223686548979256	249	248	0.00929983966790395	0.217256951214205
Cinnamate_147	FCP_Category	Normal	-0.586131379174354	0.225519453601266	249	97	0.0100025112348006	0.219698014621512
methyl.lysine_161.1	FCP_Category	Normal	-0.602583978894696	0.231091592802318	249	243	0.00970086823676327	0.219698014621512
Phosphoserine_186	Age	Age	-0.678520923548769	0.253060572755712	249	123	0.00997693641426955	0.219698014621512
X3.Hydroxybenzyl.Alcohol_123	FCP_Category	Normal	0.305181584865917	0.120507927057172	249	249	0.0119761601406156	0.231431349106438
Decanoic.acid_171.1	FCP_Category	Normal	0.339679600108559	0.132862716578271	249	249	0.0112076644818499	0.231431349106438
Heptanoic.acid_129.1	FCP_Category	Normal	0.382395016293966	0.150136983131036	249	249	0.0115147374009597	0.231431349106438
Indole.3.Methyl.Acetate_190.1	Age	Age	0.554628460605003	0.211150205794458	249	240	0.0114354590029949	0.231431349106438
Methyl.4.Aminobutyrate_118.1	Gender	Male	-0.363117237218859	0.1386270737935	249	249	0.0120419563762699	0.231431349106438
Nonanoic.acid_157.1	FCP_Category	Normal	0.335478701409633	0.13222081236545	249	249	0.0118177132810171	0.231431349106438
P.Octopamine_154.1	Gender	Male	-0.272533142860712	0.10169465381436	249	249	0.0108086899913341	0.231431349106438
Thymine_125	Gender	Male	0.553104849700953	0.218522254630488	249	245	0.0120209417441685	0.231431349106438
X2.Hydroxypyridine_96	Gender	Male	-0.448450642702249	0.17147364997463	249	249	0.0124407374766136	0.232834002277952
X3.hydroxybutyric.acid_103	Gender	Male	-0.480060135303414	0.184475148367486	249	249	0.0126625005174297	0.232834002277952
Crotonic.acid_85	FCP_Category	Normal	0.351677776420554	0.141382468248674	249	249	0.0135594952586325	0.232834002277952
Cysteine_122	FCP_Category	Normal	0.23358512480953	0.0939133493493892	249	249	0.0136293074504167	0.232834002277952
Galactosamine_180.1	FCP_Category	Normal	-0.387173867786362	0.154933173000038	249	249	0.0131370006390165	0.232834002277952
Quinolinate_166	Gender	Male	-0.599198545182757	0.232691659697897	249	249	0.0133507733041139	0.232834002277952
trans.3.Hexenoic.acid_113.1	FCP_Category	Normal	0.396899002724665	0.158471225706016	249	247	0.012936512245583	0.232834002277952
Xanthine_153	FCP_Category	Normal	-0.660056518956482	0.264768964919071	249	229	0.0133916964746485	0.232834002277952
N.Acetylphenylalanine_206.1	FCP_Category	Normal	-0.707160505109576	0.285452931570255	249	197	0.0139439835092989	0.234946571458051
X2.hydroxyglutarate_147	Age	Age	0.216869060190303	0.0866323558361844	249	249	0.0154064379408201	0.239872388192515
X3.Methylglutaconate_143	FCP_Category	Normal	0.284301958883075	0.116204417831734	249	249	0.0151623131938318	0.239872388192515
cis.7.10.13.16.Docosatetraenoic.acid_331.3	Age	Age	-0.68151459672255	0.268575231649425	249	136	0.0144763697690991	0.239872388192515
Mesoxalate_117	Age	Age	-0.299681478390953	0.117961018716044	249	163	0.0149036147989519	0.239872388192515
Pyridoxal_168.1	Gender	Male	-0.548875939021279	0.215096440424187	249	249	0.0149892363697898	0.239872388192515
Xanthine_151	FCP_Category	Normal	-0.574608769868821	0.235331436010109	249	249	0.0153669273277717	0.239872388192515
X4.Pyridoxate_184.1	FCP_Category	Normal	0.370163230681199	0.153382617169886	249	249	0.0165915959165042	0.242050862211973
Erucic.acid_337.3	FCP_Category	Normal	-0.969275523221003	0.40191767319786	249	190	0.0166618157161506	0.242050862211973
Glutarylcarnitine_276.1	FCP_Category	Normal	0.811604925375461	0.336782101355547	249	160	0.0167270921040794	0.242050862211973
Glycochenodeoxycholate_448.3	Gender	Male	1.00776121048038	0.40553314991762	249	100	0.0165796953351602	0.242050862211973
Kynurenine_209.1	Gender	Male	-0.377866684497159	0.148616028699946	249	243	0.0160854234567956	0.242050862211973
trans.trans.Muconic.acid_141	FCP_Category	Normal	0.234007764749485	0.0968058399532211	249	249	0.0164589978486071	0.242050862211973
Isoleucine_132.1	FCP_Category	Normal	-0.479057363984557	0.19952241627353	249	249	0.0171281388903405	0.244649431658449
Paraxanthine_181.1	Age	Age	0.484691368861886	0.197010801766041	249	144	0.0175779451282598	0.244649431658449
Succinyladenosine_384.1	Age	Age	0.467265581053874	0.189611781329573	249	89	0.0177405481104028	0.244649431658449
Uridine_243.1	FCP_Category	Normal	-0.430128128877091	0.180145115230607	249	249	0.0177437451350974	0.244649431658449
Urocanate_139.1	FCP_Category	Normal	-0.552221303951978	0.231591115727173	249	249	0.017901177926228	0.244649431658449
X3.Methoxy.4.Hydroxymandelate_197	FCP_Category	Normal	0.319939297231451	0.134868356538461	249	248	0.0184871043259532	0.24682897652019
Bis.2.Ethylhexyl.Phthalate_391.3	Gender	Male	1.08109439221191	0.447244115245305	249	249	0.0200698206525328	0.24682897652019
Cholate_407.3	Gender	Male	1.52667997142323	0.634183813666136	249	243	0.0206694183590078	0.24682897652019
Dehydroascorbate_173	Gender	Male	-0.475633992394063	0.194900291608146	249	229	0.0190539340613521	0.24682897652019
Deoxycholate_391.3	Gender	Male	1.07033347643136	0.442668032915054	249	249	0.0200728135333783	0.24682897652019
L.Dopa_198.1	FCP_Category	Normal	0.291090073622214	0.124589719206721	249	245	0.0203140033269632	0.24682897652019
Maleamate_114	FCP_Category	Normal	0.267713908870967	0.114791291900903	249	248	0.020556161767998	0.24682897652019
Methyl.4.Aminobutyrate_118.1	FCP_Category	Normal	0.266148941778419	0.113166993563563	249	249	0.0195271021297933	0.24682897652019
N.Acetylalanine_130.1	Gender	Male	0.353204363344076	0.144459331650894	249	249	0.0187431605958117	0.24682897652019
N.Acetylglucosamine_222.1	Age	Age	-0.319839145615385	0.133623463802975	249	249	0.0201253370510224	0.24682897652019
Octanoic.acid_143.1	FCP_Category	Normal	0.319025817295453	0.135861752561647	249	249	0.0196936092469167	0.24682897652019
Salsolinol_180.1	FCP_Category	Normal	0.398688589805526	0.168498765436679	249	248	0.0188006466161769	0.24682897652019
Valine_118.1	FCP_Category	Normal	-0.390268539651601	0.165997181090081	249	249	0.0195465145028524	0.24682897652019
