feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Ophthalmate_290.1	Faith_pd	Faith_pd	0.967968128437908	0.142410154176845	249	220	3.03195321941126e-10	8.70170573971031e-07
X6.Carboxyhexanoate_159.1	Faith_pd	Faith_pd	0.472057790255344	0.0787689212700733	249	249	1.4965574375611e-08	1.07377996145009e-05
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Faith_pd	Faith_pd	-1.16711772150502	0.190666373644232	249	136	8.82584546487266e-09	1.07377996145009e-05
Glutarylcarnitine_276.1	Faith_pd	Faith_pd	1.13503627524161	0.185338797499815	249	160	1.28604952743262e-08	1.07377996145009e-05
Dimethylarginine_203.2	Faith_pd	Faith_pd	-0.746479528035905	0.126528459614425	249	248	1.88584684906343e-08	1.08247609136241e-05
Adenosine_268.1	Dysbiosis_Index	Dysbiosis_Index	-0.677787859227333	0.113810452310224	249	249	2.36942998836406e-08	1.13337734443414e-05
Fructose.6.phosphate_259	Dysbiosis_Index	Dysbiosis_Index	-1.06156861490935	0.179243692252856	249	242	2.90181083731737e-08	1.18974244330012e-05
Sedoheptulose.7.phosphate_289	Dysbiosis_Index	Dysbiosis_Index	-0.95601026390595	0.16605338038127	249	222	5.48136376640892e-08	1.9664392511992e-05
AMP_348.1	Dysbiosis_Index	Dysbiosis_Index	-0.841349385103972	0.145876297308915	249	233	7.80426934391387e-08	2.39295186204455e-05
Cortisone_359.2	Faith_pd	Faith_pd	0.651319884690996	0.11359333042112	249	85	8.3378113660089e-08	2.39295186204455e-05
AMP_346.1	Dysbiosis_Index	Dysbiosis_Index	-0.763108924670524	0.136874268260993	249	234	1.69603325296431e-07	4.05634619667299e-05
N.Acetylputrescine_131.1	Faith_pd	Faith_pd	-1.1915548948856	0.217204989543031	249	249	1.64187526821019e-07	4.05634619667299e-05
L.Dopa_198.1	Faith_pd	Faith_pd	0.371292495984537	0.067726710905181	249	245	1.9638585121626e-07	4.33559533069743e-05
