feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Thymidine_241.1	IIRN_Flare	never_flared	2.59640339753722	0.532158536853996	216	192	1.7982501915585e-05	0.0221184773561696
Oleic.acid_281.2	IIRN_Flare	never_flared	1.2649898523674	0.309893035630979	216	216	0.000198371520649514	0.0972114238621327
Sarcosine_90.1	Gender	Male	-0.801669364505722	0.218866889446628	216	182	0.000316134711746773	0.0972114238621327
Succinic.Acid_117	IIRN_Flare	never_flared	-1.64615822876294	0.413137262065201	216	216	0.000269882743753727	0.0972114238621327
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine_221.1	Age	Age	-0.86468534466743	0.22775711155327	216	210	0.000559599120254202	0.114717819652111
N.Acetylmethionine_192.1	Gender	Male	-0.828726187554036	0.21809675417995	216	215	0.000523454828726023	0.114717819652111
cis.10.Nonadecenoic.acid_295.3	IIRN_Flare	never_flared	0.870628069184118	0.263068628682962	216	206	0.00110064794358698	0.156697768167173
Dimethylarginine_203.2	Gender	Male	1.46742396633517	0.406849601966151	216	215	0.000906832411568307	0.156697768167173
Methylmalonate_117	Gender	Male	-0.301981420222281	0.0915804591734489	216	216	0.00114656903536956	0.156697768167173
X3.Hydroxybenzyl.Alcohol_123	Gender	Male	-0.517352456325348	0.160888856758996	216	216	0.00262050466788137	0.161302783688271
Allothreonine_120.1	Gender	Male	-0.651421578729548	0.194375055040222	216	198	0.00222220561312637	0.161302783688271
aminoadipate_162.1	Age	Age	-0.310999292673738	0.100679398689508	216	216	0.00380307376175599	0.161302783688271
Benzyl.Alcohol_107.1	IIRN_Flare	never_flared	2.11783991314379	0.622914120685429	216	193	0.00148939007388405	0.161302783688271
cis.11.Eicosenoic.acid_309.3	IIRN_Flare	never_flared	0.975549148164331	0.291223287668169	216	216	0.00177167068437218	0.161302783688271
Cis.4.Hydroxy.D.Proline_132.1	Gender	Male	0.733994164623729	0.228823189641006	216	216	0.00293244976045511	0.161302783688271
D.Sedoheptulose_209.1	IIRN_Flare	never_flared	-1.08649907957244	0.354593947793516	216	177	0.00369558959045807	0.161302783688271
Epinephrine_184.1	Gender	Male	-0.59876884569469	0.191768788548303	216	200	0.00349656450745886	0.161302783688271
Malonate_103	IIRN_Flare	never_flared	-0.61332924371391	0.200076561213459	216	216	0.00368120225512508	0.161302783688271
Methylarginine_189.1	Gender	Male	0.957379997635705	0.286763573646995	216	180	0.00207645602858089	0.161302783688271
Methylguanidine_74.1	IIRN_Flare	never_flared	1.37868984890667	0.414322177125057	216	146	0.00164620110138877	0.161302783688271
N.Acetylglycine_116	Gender	Male	-0.451781610987874	0.145127013727797	216	216	0.00360136697250207	0.161302783688271
N.Acetylneuraminate_310.1	Age	Age	-0.503620565990625	0.153715458406456	216	216	0.00227166413350974	0.161302783688271
Phosphoserine_186	Age	Age	-0.855069969792558	0.274168794600298	216	115	0.00367477494131822	0.161302783688271
P.Octopamine_154.1	Gender	Male	-0.330896966601946	0.104277542074948	216	216	0.00315723645388854	0.161302783688271
Taurine_124	IIRN_Flare	never_flared	-3.00739309643487	0.956212750731243	216	213	0.00309165865817464	0.161302783688271
Thymine_125	Gender	Male	0.702464848662673	0.225877925431622	216	212	0.00213225005430445	0.161302783688271
Trimethyllysine_189.2	Gender	Male	1.11429171015669	0.341348449524679	216	216	0.00234490240595463	0.161302783688271
Trimethyllysine_189.2	IIRN_Flare	never_flared	-1.3064410033843	0.40924456018606	216	216	0.00269848937912354	0.161302783688271
Xanthurenate_206	Gender	Male	-1.19700877436465	0.383984861896162	216	207	0.00339218154858806	0.161302783688271
Pyridoxine_170.1	Gender	Male	-0.606115840359289	0.196392283057703	216	216	0.00395807406510969	0.162281036669497
Pentadecanoic.acid_241.2	IIRN_Flare	never_flared	1.00167363851886	0.329732434998816	216	216	0.00423894373295206	0.166931140336414
Pyridoxal_168.1	Gender	Male	-0.618082382280677	0.203041428855587	216	216	0.00434292397623192	0.166931140336414
X4.Hydroxybenzaldehyde_121	Gender	Male	-0.328186597143472	0.110961954002009	216	216	0.00548513433809712	0.170533146778504
X5.Deoxyadenosine_252.1	IIRN_Flare	never_flared	0.848924312437889	0.284529800578222	216	214	0.00469588926515552	0.170533146778504
Adenosine.Diphosphate.Ribose_560.1	Age	Age	-0.355901262253577	0.126140447856747	216	117	0.00524140164071166	0.170533146778504
Arachidonic.acid_303.2	Age	Age	-0.447331698251217	0.150957438993496	216	193	0.00536043215854316	0.170533146778504
cis.10.Nonadecenoic.acid_295.3	Gender	Male	-0.564327097919233	0.202541001542395	216	206	0.00582308306072939	0.170533146778504
Guaiacol_123	Gender	Male	-0.322661169454565	0.114468640036292	216	216	0.00528394970829927	0.170533146778504
Kynurenate_188	IIRN_Flare	never_flared	1.04765619675076	0.357891421385643	216	209	0.00542513304655491	0.170533146778504
N.Acetylalanine_130.1	Gender	Male	0.460585364026677	0.153554872429744	216	216	0.00482574206031999	0.170533146778504
N.Methylaspartate_148.1	Gender	Male	-0.878066205780259	0.296481787617417	216	198	0.00580212443649895	0.170533146778504
trans.trans.Muconic.acid_141	Gender	Male	-0.309326696999865	0.105219761128311	216	216	0.00572281879734681	0.170533146778504
X3.Amino.5.Hydroxybenzoate_152	Gender	Male	-0.65054700311035	0.22324492779409	216	216	0.00617926498799614	0.174730006511738
Mesaconic.acid_129	IIRN_Flare	never_flared	-0.561496164469733	0.19552515245576	216	216	0.00625050429798088	0.174730006511738
X14.Methylhexadecanoic.acid_269.2	IIRN_Flare	never_flared	0.650234644149303	0.231757391666742	216	216	0.00770582230912978	0.186325624680736
X3.Methoxytyrosine_210.1	Gender	Male	-0.488624336821404	0.178054442998508	216	216	0.00921562211929829	0.186325624680736
X4.Acetamidobutanoate_146.1	IIRN_Flare	never_flared	0.575189955345058	0.213983367631016	216	216	0.0101494445964303	0.186325624680736
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Gender	Male	1.42082687133794	0.521746250773799	216	113	0.00960187830905418	0.186325624680736
Biotin_245.1	IIRN_Flare	never_flared	0.667625401601586	0.246836222353274	216	216	0.00966348679675102	0.186325624680736
Creatine_130.1	IIRN_Flare	never_flared	-1.68511938362347	0.617896268209768	216	212	0.00950207001288522	0.186325624680736
Creatine_132.1	IIRN_Flare	never_flared	-1.7389066767663	0.637927316683083	216	216	0.00941936711099414	0.186325624680736
Cystine_241	Gender	Male	1.52778875443286	0.538246300126768	216	148	0.00738482210022754	0.186325624680736
Dehydroascorbate_173	Gender	Male	-0.55620737528924	0.19923163286529	216	200	0.00845126876830141	0.186325624680736
Diethanolamine_106.1	Gender	Male	-0.501724466507956	0.183897538505895	216	216	0.00976767095949991	0.186325624680736
Dodecanoic.acid_199.2	Gender	Male	-0.570617111628439	0.202670419186889	216	216	0.00780105448661474	0.186325624680736
D.Pinitol_193.1	IIRN_Flare	never_flared	-0.874510869274363	0.324603503635017	216	206	0.00974850197690648	0.186325624680736
Glycolate_75	Gender	Male	-0.411538960020608	0.148316848572083	216	216	0.00869959351435337	0.186325624680736
Mesoxalate_117	Gender	Male	-0.743958443455927	0.260020669539656	216	145	0.00717334608721817	0.186325624680736
methyl.lysine_161.1	Gender	Male	1.02067519788477	0.375158002691015	216	210	0.0100922397359778	0.186325624680736
N.Acetylneuraminate_310.1	Gender	Male	0.823102658095874	0.304164940402194	216	216	0.00988033685594805	0.186325624680736
Orotate_155	Gender	Male	0.881098075876814	0.312657276966635	216	213	0.0078777135673221	0.186325624680736
Palmitoleic.acid_253.2	IIRN_Flare	never_flared	0.674574885592491	0.245239608512154	216	216	0.00880043779996771	0.186325624680736
Pentanoate_101.1	IIRN_Flare	never_flared	0.962780661533469	0.353726775678134	216	216	0.00945110703981137	0.186325624680736
Pipecolate_130.1	IIRN_Flare	never_flared	1.34131765855003	0.493579087631167	216	216	0.00982983562675479	0.186325624680736
Raffinose_503.2	IIRN_Flare	never_flared	-1.04513156437497	0.379209353423066	216	215	0.00897560081197197	0.186325624680736
Salicylate_137	Gender	Male	-0.540199030084538	0.190219230992441	216	216	0.00717054624232891	0.186325624680736
Xanthosine_285.1	Age	Age	0.657052297254449	0.234629623456145	216	151	0.00860645377403875	0.186325624680736
Thymine_125	IIRN_Flare	never_flared	0.759019833587606	0.293379590505339	216	212	0.0103551971860346	0.187307243217979
Tryptophan_205.1	Gender	Male	0.711443942314857	0.264971840485148	216	216	0.0105673030391611	0.188373662872002
X4.Acetamidobutanoate_146.1	Age	Age	-0.241694852285552	0.0904476901599102	216	216	0.0112007404912678	0.196633154278647
Guanosine_284.1	Age	Age	0.302786074685452	0.112560538888495	216	216	0.011350369068117	0.196633154278647
X2.Hydroxypyridine_96	Gender	Male	-0.476336772542703	0.185226989945434	216	216	0.0147596242907266	0.20471652257792
X3..4.Hydroxyphenyl.Pyruvate_179	Gender	Male	-0.470422730703097	0.180773374018981	216	216	0.0132842408078319	0.20471652257792
X3.Amino.4.Hydroxybenzoate_152	Gender	Male	-0.53480191638913	0.210318838796615	216	216	0.0153121301440395	0.20471652257792
X3.Methyl.L.Histidine_170.1	Gender	Male	1.30459533058739	0.508321924139985	216	212	0.0144290174587108	0.20471652257792
X3.Sulfinoalanine_154	Gender	Male	-0.375318961890718	0.142962629130474	216	205	0.0136587017842959	0.20471652257792
X6.Carboxyhexanoate_159.1	Gender	Male	-0.580354421809297	0.221195971327907	216	216	0.0123569984987282	0.20471652257792
Benzyl.Alcohol_107.1	Gender	Male	-1.33456298158134	0.522826667548601	216	193	0.0146555311568998	0.20471652257792
Biotin_245.1	Gender	Male	-0.526856247182425	0.203201661533921	216	216	0.0135169715971546	0.20471652257792
Citrulline_176.1	Gender	Male	0.751773285043423	0.285247256051392	216	216	0.0123269585707278	0.20471652257792
Fructose_179.1	IIRN_Flare	never_flared	-0.855912036805064	0.333094382430605	216	216	0.0144002507422349	0.20471652257792
Glycine_76	IIRN_Flare	never_flared	-0.772431490926921	0.299636294911273	216	216	0.0135910233822435	0.20471652257792
Kynurenate_188	Gender	Male	-0.760879001381695	0.297644423776254	216	209	0.0146097945694795	0.20471652257792
Lithocholyltaurine_482.3	Age	Age	-0.377988290589151	0.146338563327413	216	60	0.0151112840890317	0.20471652257792
Methyl.4.Aminobutyrate_118.1	Gender	Male	-0.376773188867804	0.145657754705965	216	216	0.0137481071192045	0.20471652257792
Myo.Inositol_179.1	IIRN_Flare	never_flared	-0.842675128412705	0.327601716640541	216	216	0.0137171546697128	0.20471652257792
N.Acetylmethionine_192.1	IIRN_Flare	never_flared	0.665783318118293	0.262358479734588	216	215	0.0150029154957228	0.20471652257792
N.Acetylputrescine_131.1	Gender	Male	1.64043975065287	0.631971241777672	216	216	0.0135682620192617	0.20471652257792
Picolinate_123	Age	Age	-0.255697558577785	0.0977650574950598	216	129	0.0152160253584116	0.20471652257792
Quinolinate_166	IIRN_Flare	never_flared	0.656671319558309	0.253274306305745	216	216	0.0132852622818521	0.20471652257792
Stachyose_665.2	IIRN_Flare	never_flared	-1.57476969060823	0.613583663419255	216	142	0.013831770178188	0.20471652257792
Thymine_125	Age	Age	0.273395080736784	0.11041198016808	216	212	0.0140756361265766	0.20471652257792
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine_221.1	Gender	Male	1.14424240391712	0.451798389544218	216	210	0.0154970529122871	0.204961022388313
Aspartate_132	Gender	Male	0.665190351639461	0.264920761679715	216	216	0.016380584643827	0.211847839884713
Decanoic.acid_171.1	Gender	Male	-0.451510529180673	0.17989642343979	216	216	0.0165344655519776	0.211847839884713
Oleic.acid_281.2	Gender	Male	-0.648844733107968	0.258051030446742	216	216	0.0163578724187985	0.211847839884713
X3.Hydroxybenzaldehyde_121	Gender	Male	-0.511940751081502	0.208897570038136	216	216	0.0189233686392511	0.215151627437968
